L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.000000000,0.007790369,0.007790369,0.125478448,97.670000000
0.000000010,0.006615451,0.006837524,0.133697931,97.600000000
0.000000020,0.006038864,0.006515156,0.135935171,97.640000000
0.000000030,0.008183361,0.008940314,0.136793187,97.600000000
0.000000040,0.007048416,0.008104690,0.143987421,97.710000000
0.000000050,0.003108224,0.004509860,0.150455849,97.670000000
0.000000060,0.003710445,0.005464147,0.144862159,97.550000000
0.000000070,0.003177755,0.005315109,0.151815044,97.610000000
0.000000080,0.004155002,0.006623347,0.147618688,97.610000000
0.000000090,0.006088183,0.008895956,0.156234412,97.660000000
0.000000100,0.003101547,0.006203139,0.156988912,97.680000000
0.000000110,0.004203517,0.007564697,0.159186482,97.560000000
0.000000120,0.002210896,0.005954416,0.150274876,97.660000000
0.000000130,0.004117998,0.008082878,0.144031566,97.740000000
0.000000140,0.003018215,0.007261888,0.143788543,97.690000000
0.000000150,0.003460097,0.007925920,0.152746863,97.570000000
0.000000160,0.005680990,0.010415885,0.141467377,97.800000000
0.000000170,0.003112317,0.008148996,0.143727720,97.840000000
0.000000180,0.002173705,0.007356752,0.129261885,97.780000000
0.000000190,0.003748287,0.009180724,0.152798121,97.700000000
0.000000200,0.004152950,0.009801393,0.146788361,97.750000000
0.000000210,0.005398120,0.011318956,0.154735542,97.570000000
0.000000220,0.003485525,0.009547459,0.138600351,97.550000000
0.000000230,0.003216744,0.009553935,0.149834960,97.550000000
0.000000240,0.002705179,0.009242840,0.134835310,97.890000000
0.000000250,0.001993316,0.008531141,0.164865059,97.380000000
0.000000260,0.002684898,0.009452680,0.141486870,97.620000000
0.000000270,0.002367233,0.009142454,0.137839650,97.660000000
0.000000280,0.004330679,0.011329238,0.133175257,97.620000000
0.000000290,0.002553892,0.009564854,0.134981603,97.800000000
0.000000300,0.004195667,0.011346128,0.142669134,97.700000000
0.000000310,0.003180452,0.010495946,0.133009240,97.840000000
0.000000320,0.003699072,0.011286749,0.138584489,97.660000000
0.000000330,0.003884241,0.011597757,0.138918862,97.690000000
0.000000340,0.003939496,0.011602094,0.139029982,97.610000000
0.000000350,0.002513992,0.010244894,0.135758060,97.710000000
0.000000360,0.003240859,0.011219674,0.131434771,97.670000000
0.000000370,0.003283723,0.011365302,0.141472436,97.640000000
0.000000380,0.006018348,0.014246471,0.130590739,97.860000000
0.000000390,0.004320069,0.012474669,0.129063489,97.710000000
0.000000400,0.003827770,0.012156298,0.131994646,97.680000000
0.000000410,0.002919341,0.011474332,0.122598861,97.850000000
0.000000420,0.003586593,0.012184738,0.129919945,97.780000000
0.000000430,0.003854580,0.012441797,0.135982049,97.480000000
0.000000440,0.005308503,0.013974277,0.122683223,97.580000000
0.000000450,0.005350653,0.014131860,0.129716421,97.780000000
0.000000460,0.002914021,0.011750285,0.134042160,97.780000000
0.000000470,0.005399638,0.014390365,0.128713377,97.490000000
0.000000480,0.003730553,0.012892198,0.136873627,97.550000000
0.000000490,0.003111450,0.012294940,0.132040389,97.700000000
0.000000500,0.003977555,0.013340125,0.122911738,97.720000000
0.000000510,0.003738277,0.013114142,0.115970560,97.730000000
0.000000520,0.005020717,0.014380037,0.123172530,97.860000000
0.000000530,0.004059591,0.013454511,0.132596718,97.700000000
0.000000540,0.001287496,0.010794044,0.110812904,97.970000000
0.000000550,0.005010494,0.014339932,0.130469329,97.730000000
0.000000560,0.003167964,0.012679858,0.119805889,97.870000000
0.000000570,0.004682357,0.014213034,0.114389687,97.860000000
0.000000580,0.003622160,0.013270211,0.131289508,97.500000000
0.000000590,0.007058995,0.016681045,0.115640809,97.980000000
0.000000600,0.002146822,0.011731195,0.125203191,97.790000000
0.000000610,0.004710018,0.014391046,0.119082030,97.670000000
0.000000620,0.002130353,0.011840556,0.118359512,97.960000000
0.000000630,0.003151771,0.012787753,0.131550103,97.660000000
0.000000640,0.003244633,0.012986547,0.131053937,97.650000000
0.000000650,0.003516169,0.013200083,0.126394359,97.670000000
0.000000660,0.002734850,0.012594078,0.123048668,97.790000000
0.000000670,0.002866378,0.012766535,0.123970942,97.670000000
0.000000680,0.002978111,0.012883540,0.109188905,97.810000000
0.000000690,0.005967022,0.015936759,0.115205532,97.720000000
0.000000700,0.004703099,0.014820571,0.112517960,97.880000000
0.000000710,0.003263277,0.013497414,0.112554239,97.930000000
0.000000720,0.006364000,0.016522340,0.108265207,97.840000000
0.000000730,0.004398588,0.014628861,0.121444949,97.650000000
0.000000740,0.002013420,0.012142890,0.123157589,97.650000000
0.000000750,0.003537423,0.013723081,0.128712777,97.630000000
0.000000760,0.005971797,0.016251901,0.119802918,97.690000000
0.000000770,0.002230302,0.012521667,0.120228829,97.710000000
0.000000780,0.004679538,0.014827462,0.115708719,97.830000000
0.000000790,0.005196876,0.015479541,0.109541440,97.780000000
0.000000800,0.003666091,0.013923438,0.112430155,97.710000000
0.000000810,0.005294601,0.015555652,0.115049381,97.860000000
0.000000820,0.002113378,0.012481865,0.110284454,97.910000000
0.000000830,0.005955896,0.016401776,0.115393636,97.750000000
0.000000840,0.002268076,0.012667049,0.117613499,97.830000000
0.000000850,0.003193171,0.013708137,0.120559018,97.780000000
0.000000860,0.003801641,0.014265477,0.113424366,97.620000000
0.000000870,0.003793759,0.014373817,0.111092725,97.830000000
0.000000880,0.006225658,0.016611510,0.113207512,97.690000000
0.000000890,0.006315847,0.016949319,0.110512221,97.760000000
0.000000900,0.003763134,0.014453722,0.106205764,97.840000000
0.000000910,0.005061669,0.015650525,0.117983658,97.740000000
0.000000920,0.004006877,0.014533270,0.108933488,97.890000000
0.000000930,0.003454033,0.014062247,0.107453439,97.860000000
0.000000940,0.002941718,0.013413443,0.116596644,97.730000000
0.000000950,0.003716747,0.014290508,0.117376887,97.780000000
0.000000960,0.004282842,0.014647157,0.112418845,97.670000000
0.000000970,0.002194325,0.012733896,0.112753859,97.650000000
0.000000980,0.002043227,0.012816220,0.108145578,97.910000000
0.000000990,0.002689883,0.013396511,0.117511490,97.600000000
0.000001000,0.004205003,0.014978665,0.120355461,97.760000000
0.000001010,0.004609451,0.015435455,0.102999719,97.880000000
0.000001020,0.002728696,0.013351401,0.113519009,97.770000000
0.000001030,0.003583255,0.014105664,0.109958462,97.770000000
0.000001040,0.005804210,0.016662677,0.112455268,97.710000000
0.000001050,0.004217167,0.015064316,0.105215966,97.790000000
0.000001060,0.005411805,0.016216828,0.110682978,97.770000000
0.000001070,0.004586938,0.015529503,0.109708259,97.700000000
0.000001080,0.005210569,0.016196718,0.124238327,97.680000000
0.000001090,0.001911395,0.012646201,0.111031506,97.770000000
0.000001100,0.003495392,0.014295027,0.112730791,97.790000000
0.000001110,0.003965722,0.014822331,0.111353676,97.850000000
0.000001120,0.002899001,0.013596445,0.121351664,97.740000000
0.000001130,0.005865575,0.016701160,0.109772020,97.820000000
0.000001140,0.002818002,0.013514711,0.111773703,97.860000000
0.000001150,0.004795148,0.015477483,0.118128720,97.700000000
0.000001160,0.005608244,0.016264107,0.122228521,97.630000000
0.000001170,0.004896280,0.015631995,0.121432468,97.750000000
0.000001180,0.006032168,0.016843814,0.123311004,97.650000000
0.000001190,0.004441183,0.015180478,0.131333464,97.470000000
0.000001200,0.002753937,0.013485823,0.116917101,97.510000000
0.000001210,0.003929594,0.014526958,0.121173347,97.590000000
0.000001220,0.003808704,0.014434399,0.108159984,97.750000000
0.000001230,0.001893725,0.012427272,0.109638159,97.660000000
0.000001240,0.003499995,0.013989667,0.104229883,97.840000000
0.000001250,0.005196454,0.015772930,0.102773284,97.780000000
0.000001260,0.005798139,0.016229779,0.111818345,97.660000000
0.000001270,0.004858895,0.015403351,0.103206550,97.750000000
0.000001280,0.002893419,0.013362229,0.111687688,97.780000000
0.000001290,0.005490911,0.016149900,0.118763963,97.610000000
0.000001300,0.003676912,0.014344407,0.114264117,97.830000000
0.000001310,0.003382549,0.013883218,0.108891284,97.900000000
0.000001320,0.004031167,0.014325315,0.112833742,97.880000000
0.000001330,0.003517581,0.013826909,0.104328798,97.790000000
0.000001340,0.003946750,0.014174146,0.097910580,97.930000000
0.000001350,0.004434172,0.014659507,0.113586900,97.650000000
0.000001360,0.003777549,0.014255116,0.117440011,97.650000000
0.000001370,0.006253497,0.016724566,0.107783056,97.710000000
0.000001380,0.004668940,0.014928572,0.114234505,97.760000000
0.000001390,0.003830528,0.014018537,0.113688772,97.760000000
0.000001400,0.005143254,0.015340456,0.107771723,97.720000000
0.000001410,0.004567089,0.014620071,0.104909777,97.750000000
0.000001420,0.004516961,0.014361455,0.107094751,97.680000000
0.000001430,0.003185944,0.012952546,0.117755620,97.720000000
0.000001440,0.005357389,0.015326508,0.103089320,97.820000000
0.000001450,0.005904044,0.015829764,0.121612152,97.460000000
0.000001460,0.003415759,0.013313450,0.109701225,97.810000000
0.000001470,0.002448858,0.012071303,0.100752867,97.910000000
0.000001480,0.003540750,0.013105648,0.111977091,97.610000000
0.000001490,0.003171771,0.012350758,0.109803497,97.840000000
0.000001500,0.003698777,0.012881746,0.111249512,97.620000000
0.000001510,0.004598756,0.013841746,0.108888784,97.650000000
0.000001520,0.006331020,0.015556328,0.106523329,97.770000000
0.000001530,0.004544867,0.013624983,0.103609836,97.940000000
0.000001540,0.006106341,0.015139909,0.120571132,97.690000000
0.000001550,0.005988160,0.015060907,0.106370377,97.860000000
0.000001560,0.004175797,0.013167226,0.110274469,97.780000000
0.000001570,0.004270745,0.013321476,0.115511785,97.590000000
0.000001580,0.003479786,0.012332291,0.124006304,97.550000000
0.000001590,0.003983540,0.012664688,0.103084000,97.880000000
0.000001600,0.005042373,0.013505184,0.134467669,97.510000000
0.000001610,0.003470254,0.011936793,0.120709842,97.720000000
