L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.00000,0.159801720,0.159801720,0.181249030,94.410000000
0.00020,0.275725223,0.974453348,0.273754078,91.620000000
0.00040,0.301814282,1.031004565,0.251110594,92.600000000
0.00060,0.325981248,1.095943260,0.280395567,91.790000000
0.00080,0.336360522,1.155090893,0.341342654,89.940000000
0.00100,0.349503374,1.263171038,0.326832838,90.610000000
0.00120,0.355731985,1.275614675,0.292530713,91.570000000
0.00140,0.363505784,1.210642759,0.338797854,89.720000000
0.00160,0.373797621,1.294268519,0.356472632,89.740000000
0.00180,0.388762845,1.379457401,0.405265136,88.190000000
0.00200,0.396144783,1.359549629,0.391394489,88.990000000
0.00220,0.404842858,1.455963623,0.386363927,89.030000000
0.00240,0.417561493,1.411623504,0.378539437,89.140000000
0.00260,0.422594683,1.535607647,0.406683329,88.550000000
0.00280,0.430357781,1.515967034,0.493277740,85.720000000
0.00300,0.443311308,1.614227110,0.397251123,89.230000000
0.00320,0.452630788,1.523651784,0.436060145,87.890000000
0.00340,0.456712929,1.603980196,0.441050304,88.380000000
0.00360,0.470176334,1.571810831,0.397459863,89.370000000
0.00380,0.475468859,1.580063268,0.421300679,89.060000000
0.00400,0.485487857,1.664365054,0.439027034,87.940000000
0.00420,0.493371677,1.723463468,0.485653145,86.480000000
0.00440,0.499936406,1.702049089,0.478210337,87.410000000
0.00460,0.511753864,1.668201206,0.478908648,88.360000000
0.00480,0.516662209,1.674841653,0.523654616,86.040000000
0.00500,0.527715738,1.727892816,0.625091738,82.470000000
0.00520,0.534856760,1.783036478,0.512342801,86.250000000
0.00540,0.547157733,1.763822080,0.524106367,86.440000000
0.00560,0.554421138,1.787741158,0.525378775,85.790000000
0.00580,0.557661036,1.851635762,0.615199440,81.690000000
0.00600,0.573739117,1.922783764,0.569188934,84.380000000
0.00620,0.577437477,1.904038146,0.669949071,78.740000000
0.00640,0.582502227,1.868549688,0.590729709,84.820000000
0.00660,0.591145375,1.879971614,0.532675415,86.630000000
0.00680,0.598318598,1.957801667,0.682717163,78.830000000
0.00700,0.610131409,1.883435532,0.556152319,86.140000000
0.00720,0.616152522,1.895981196,0.594456529,84.280000000
0.00740,0.624069303,1.910794211,0.553152985,85.440000000
0.00760,0.629023855,1.975307681,0.773966479,76.100000000
0.00780,0.640503121,2.050471306,0.628063542,83.420000000
0.00800,0.646273698,2.001080338,0.552920392,86.330000000
0.00820,0.655305594,2.047270608,0.612097230,84.060000000
0.00840,0.660307394,2.015633089,0.617271256,82.910000000
0.00860,0.667797438,2.015264141,0.602955448,84.670000000
0.00880,0.676584196,2.082472685,0.634924054,82.990000000
0.00900,0.675941263,2.066461176,0.639746802,80.510000000
0.00920,0.678718427,2.034516627,0.666147498,82.260000000
0.00940,0.686194370,2.195823383,0.666192138,82.050000000
0.00960,0.690205216,2.142240519,0.676834518,79.940000000
0.00980,0.699611904,2.061897588,0.647170900,82.590000000
