L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.00000,0.009980488,0.009980488,0.106987055,97.700000000
0.00020,0.074010529,0.178937372,0.092040596,97.450000000
0.00040,0.105475437,0.230124082,0.111099733,96.690000000
0.00060,0.134342407,0.273058001,0.119464742,96.630000000
0.00080,0.157257524,0.305112602,0.159945403,95.430000000
0.00100,0.179097962,0.335019287,0.168980877,95.240000000
0.00120,0.199423438,0.360083784,0.188103085,94.490000000
0.00140,0.214374070,0.374654833,0.208166157,94.370000000
0.00160,0.230821145,0.395684573,0.224498589,93.930000000
0.00180,0.250591851,0.416171705,0.241165495,93.430000000
0.00200,0.266383185,0.430242987,0.247811433,93.500000000
0.00220,0.281029033,0.442921100,0.273841880,92.420000000
0.00240,0.295638679,0.456440803,0.274315330,92.600000000
0.00260,0.311674468,0.469787067,0.309131769,90.840000000
0.00280,0.321557468,0.475938753,0.295848456,91.860000000
0.00300,0.336474141,0.488072126,0.317469253,91.090000000
0.00320,0.345473674,0.496586858,0.358075423,89.470000000
0.00340,0.355090568,0.500524523,0.344155797,90.060000000
0.00360,0.366511992,0.510850755,0.368332431,89.580000000
0.00380,0.373787089,0.517011577,0.362437928,89.760000000
0.00400,0.384163827,0.523090356,0.375693433,89.470000000
0.00420,0.391928571,0.533198832,0.361436368,89.930000000
0.00440,0.397924529,0.536625136,0.371628323,89.930000000
0.00460,0.404001886,0.541346246,0.376582818,89.520000000
0.00480,0.412833268,0.549607716,0.382347048,89.700000000
0.00500,0.417485866,0.552208891,0.393163172,88.940000000
0.00520,0.424309215,0.558240794,0.405146494,88.860000000
0.00540,0.428623846,0.559492900,0.415899355,88.200000000
0.00560,0.435524078,0.569194385,0.424428863,87.840000000
0.00580,0.439353377,0.567563602,0.464821173,86.570000000
0.00600,0.442879948,0.570686730,0.419119920,88.260000000
0.00620,0.447743479,0.580240748,0.423852400,88.150000000
0.00640,0.453333429,0.579580658,0.467230820,86.330000000
0.00660,0.458300326,0.588211428,0.435352880,87.950000000
0.00680,0.461690835,0.586981270,0.451704428,87.650000000
0.00700,0.464699653,0.591922124,0.454265185,87.900000000
0.00720,0.465098982,0.597049081,0.438699437,88.100000000
0.00740,0.469034587,0.597382698,0.471591929,86.690000000
0.00760,0.472372948,0.599965054,0.448924547,87.710000000
0.00780,0.474676183,0.601021431,0.452438474,87.940000000
0.00800,0.481483877,0.609369741,0.451989741,87.660000000
0.00820,0.480566606,0.608464236,0.473854893,86.850000000
0.00840,0.481892309,0.608509321,0.468015150,87.230000000
0.00860,0.488675786,0.617187750,0.466047212,87.320000000
0.00880,0.488726904,0.621828272,0.464505721,87.170000000
0.00900,0.492413468,0.620147291,0.475275175,86.500000000
0.00920,0.494214438,0.623215279,0.475684541,86.810000000
0.00940,0.495214417,0.622132669,0.471212862,87.070000000
0.00960,0.500217882,0.627590395,0.474471803,87.120000000
0.00980,0.500404058,0.625746534,0.501206403,85.900000000
0.01000,0.504382601,0.635578719,0.489050239,86.540000000
0.01020,0.506543673,0.636648585,0.468833426,87.240000000
0.01040,0.507987226,0.632945481,0.513930969,85.790000000
0.01060,0.509497389,0.638447167,0.485100447,87.170000000
0.01080,0.512571283,0.641084347,0.491813623,86.050000000
0.01100,0.513282440,0.641540854,0.491266692,86.430000000
0.01120,0.516652379,0.646624283,0.513731487,85.660000000
0.01140,0.518606990,0.643928332,0.497075467,86.400000000
0.01160,0.521488595,0.646214305,0.522260380,85.100000000
0.01180,0.521859163,0.648415349,0.492892435,86.290000000
0.01200,0.525149077,0.648721866,0.503398031,86.350000000
0.01220,0.525615769,0.649105562,0.526195524,85.770000000
0.01240,0.528308349,0.652576565,0.494058100,86.770000000
0.01260,0.528976414,0.651477665,0.522903136,85.410000000
0.01280,0.532965199,0.656783900,0.506390396,86.340000000
0.01300,0.536287013,0.659389479,0.527047210,85.480000000
0.01320,0.535552018,0.662099045,0.519864543,85.710000000
0.01340,0.538270860,0.661755198,0.520793694,86.170000000
0.01360,0.542535853,0.666074811,0.519976358,86.290000000
0.01380,0.541399893,0.670435676,0.526330322,85.540000000
0.01400,0.542904675,0.668767222,0.505185398,86.480000000
0.01420,0.544945811,0.668919794,0.525018268,85.580000000
0.01440,0.548064776,0.672475508,0.537744932,85.020000000
0.01460,0.547514502,0.668870987,0.520067567,86.490000000
0.01480,0.550907649,0.677082033,0.517360902,86.340000000
0.01500,0.553275861,0.677274741,0.541205682,84.970000000
0.01520,0.553920912,0.676779152,0.543058079,84.900000000
0.01540,0.554206240,0.681532715,0.556417872,84.120000000
0.01560,0.557600540,0.683272083,0.538806017,85.610000000
0.01580,0.558804021,0.680105662,0.538996297,85.850000000
0.01600,0.560634817,0.684951734,0.534365255,85.700000000
0.01620,0.562529455,0.680706008,0.539330171,85.750000000
0.01640,0.564931805,0.682357968,0.560252945,84.060000000
0.01660,0.563943069,0.682669545,0.532913617,86.000000000
0.01680,0.564590636,0.686735440,0.549975492,85.140000000
0.01700,0.567768126,0.685364662,0.537837530,85.870000000
0.01720,0.568118413,0.686775852,0.544822358,85.020000000
0.01740,0.572410866,0.690917153,0.557719792,84.890000000
0.01760,0.573566454,0.694480089,0.571626087,82.820000000
0.01780,0.574270964,0.692809667,0.563853665,85.000000000
0.01800,0.575021563,0.696016407,0.556010087,84.490000000
0.01820,0.577772648,0.694967371,0.554923143,85.390000000
0.01840,0.578138085,0.693684236,0.564592824,84.110000000
0.01860,0.583949178,0.694132425,0.577926496,84.650000000
0.01880,0.579747998,0.699758221,0.566892043,84.140000000
0.01900,0.582945956,0.706095791,0.555099903,84.890000000
0.01920,0.581608050,0.702562487,0.563605264,84.270000000
0.01940,0.584094379,0.707480796,0.589757541,82.660000000
0.01960,0.588041380,0.700750212,0.575619369,84.050000000
0.01980,0.587266550,0.696754266,0.620278939,81.460000000
0.02000,0.588202132,0.698347338,0.563431647,84.950000000
0.02020,0.588123128,0.702296041,0.569399132,83.700000000
0.02040,0.594623756,0.707639891,0.557838364,85.370000000
0.02060,0.593111622,0.709204826,0.560924140,85.230000000
0.02080,0.595529134,0.708911327,0.573815842,84.980000000
0.02100,0.592889574,0.704206822,0.574596167,85.090000000
0.02120,0.596290493,0.710629869,0.564473644,85.250000000
0.02140,0.596739096,0.709594424,0.569023609,85.290000000
0.02160,0.599038420,0.709321849,0.577406844,84.440000000
0.02180,0.601246417,0.715597695,0.584719657,83.970000000
0.02200,0.600056889,0.714049206,0.575967968,84.110000000
0.02220,0.601170788,0.717052868,0.579094133,84.800000000
0.02240,0.603542106,0.717549501,0.578544799,84.900000000
0.02260,0.603709186,0.715806674,0.596413573,83.970000000
0.02280,0.605326843,0.714867260,0.587267905,83.450000000
0.02300,0.606341742,0.719305649,0.584617371,83.850000000
0.02320,0.607597875,0.715930858,0.584818265,84.190000000
0.02340,0.610118395,0.722999490,0.584802629,84.660000000
