L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.00000,0.009980488,0.009980488,0.106987055,97.700000000
0.00020,0.076377050,0.201384057,0.089810361,97.370000000
0.00040,0.111290286,0.280572378,0.113064286,96.570000000
0.00060,0.141502570,0.348896961,0.125922141,96.600000000
0.00080,0.168058251,0.406272338,0.160750100,95.710000000
0.00100,0.191153175,0.453886207,0.174361597,95.500000000
0.00120,0.215106904,0.499375947,0.204697051,94.370000000
0.00140,0.234044302,0.540636441,0.229003481,94.060000000
0.00160,0.259142262,0.582819191,0.277258013,93.260000000
0.00180,0.279934292,0.617877974,0.286066520,92.250000000
0.00200,0.297911460,0.648664695,0.277128680,93.050000000
0.00220,0.316342077,0.689344967,0.316011356,91.540000000
0.00240,0.334195423,0.714346106,0.311790498,92.000000000
0.00260,0.348468396,0.747369080,0.328692134,91.870000000
0.00280,0.365643653,0.775556672,0.351383268,91.200000000
0.00300,0.380287843,0.803389421,0.385488052,89.960000000
0.00320,0.393995089,0.824571895,0.378403723,91.000000000
0.00340,0.408061222,0.853214326,0.408372370,90.320000000
0.00360,0.421083078,0.876702530,0.403504700,90.360000000
0.00380,0.430863773,0.898112408,0.410241543,89.860000000
0.00400,0.444307624,0.916643714,0.440010706,89.160000000
0.00420,0.458865799,0.949418346,0.445650590,88.800000000
0.00440,0.469622590,0.969507432,0.441731579,89.570000000
0.00460,0.483279331,0.984847472,0.471953627,88.700000000
0.00480,0.495044589,1.004594735,0.486311374,88.590000000
0.00500,0.504015803,1.027320971,0.484780742,88.560000000
0.00520,0.513435806,1.044698373,0.498340961,88.490000000
0.00540,0.523882912,1.066275735,0.511983004,88.130000000
0.00560,0.533025623,1.085236414,0.522414163,87.410000000
0.00580,0.543623324,1.096646633,0.532406450,88.290000000
0.00600,0.555773752,1.113860727,0.553708943,86.910000000
0.00620,0.574190282,1.139435047,0.570784776,86.130000000
0.00640,0.584302245,1.149634472,0.565653846,86.350000000
0.00660,0.591731076,1.169909747,0.588131145,84.930000000
0.00680,0.599740478,1.183080111,0.578207021,86.890000000
0.00700,0.608334037,1.200650023,0.608967547,84.880000000
0.00720,0.616587957,1.218937511,0.588691564,86.860000000
0.00740,0.624652368,1.237599745,0.599647329,86.570000000
0.00760,0.630940361,1.249448518,0.614861810,84.940000000
0.00780,0.638986042,1.263696286,0.611294832,86.270000000
0.00800,0.648302212,1.285731594,0.620455415,85.930000000
0.00820,0.653596356,1.297949368,0.620773468,86.600000000
0.00840,0.662661097,1.309767817,0.638101230,85.980000000
0.00860,0.670656137,1.325195712,0.637060752,86.420000000
0.00880,0.677242138,1.334738738,0.658075334,85.230000000
0.00900,0.688750757,1.367885530,0.647042486,85.810000000
0.00920,0.696125479,1.375009772,0.670590866,85.640000000
0.00940,0.702012414,1.387571772,0.707500288,82.650000000
0.00960,0.710555420,1.402406982,0.694246195,83.710000000
0.00980,0.718281240,1.401766640,0.699191862,86.350000000
0.01000,0.726087734,1.426936122,0.698062007,84.840000000
0.01020,0.733458247,1.431896850,0.725369247,84.370000000
0.01040,0.741007951,1.453647655,0.720435876,84.380000000
0.01060,0.751324382,1.469300346,0.731740605,83.930000000
0.01080,0.759229854,1.480633056,0.731412309,85.260000000
0.01100,0.768357303,1.489229084,0.749101746,85.080000000
0.01120,0.775655603,1.498999133,0.814867713,78.920000000
0.01140,0.786132112,1.515765163,0.770906978,83.060000000
0.01160,0.795526793,1.532501905,0.789841560,83.910000000
0.01180,0.807034983,1.553689139,0.774192818,83.890000000
0.01200,0.816778676,1.563091298,0.790491190,81.400000000
0.01220,0.831527245,1.562021838,0.812690267,82.640000000
0.01240,0.877808546,1.573407705,0.881271191,77.940000000
0.01260,0.884732263,1.577270933,0.854134833,77.240000000
0.01280,0.889878025,1.595213230,0.867950892,78.540000000
0.01300,0.896722776,1.600202574,0.879947174,77.360000000
0.01320,0.903816795,1.624000202,0.866348394,79.910000000
0.01340,0.910214155,1.615509536,0.893604082,77.800000000
0.01360,0.918726241,1.631995876,0.885272758,79.050000000
0.01380,0.924319438,1.639085412,0.911667916,77.880000000
0.01400,0.931003438,1.648644643,0.919589667,77.090000000
0.01420,0.938896701,1.671896135,0.922265449,77.730000000
0.01440,0.945548175,1.655077435,0.941670206,79.220000000
0.01460,0.953149811,1.687150353,0.924234145,79.140000000
0.01480,0.958044758,1.676727189,0.948514227,77.210000000
0.01500,0.966389191,1.700864021,0.947588446,76.140000000
0.01520,0.977254894,1.719298132,0.940903891,78.420000000
0.01540,0.987074323,1.718556582,0.982355582,77.680000000
0.01560,0.993214797,1.733536153,0.970580975,75.060000000
0.01580,1.000806146,1.747966041,0.966239181,75.550000000
0.01600,1.007805253,1.741495682,0.987607117,74.380000000
0.01620,1.016368435,1.756434867,1.008770774,74.280000000
0.01640,1.025965185,1.772558506,0.988842430,75.730000000
0.01660,1.034884769,1.776680742,1.024930886,76.690000000
0.01680,1.043932988,1.781394182,1.073535337,71.970000000
0.01700,1.057913281,1.793231503,1.067415461,74.070000000
0.01720,1.060877373,1.794904091,1.053726314,70.350000000
0.01740,1.075915868,1.821973392,1.039491945,73.230000000
0.01760,1.154726747,1.775024361,1.165796622,64.520000000
0.01780,1.181499256,1.807134789,1.169015776,64.940000000
0.01800,1.185856241,1.807597475,1.184093565,63.440000000
0.01820,1.188861812,1.810100314,1.176917867,64.720000000
0.01840,1.195028179,1.831454421,1.182604115,65.700000000
0.01860,1.200512281,1.831572326,1.208420303,63.210000000
0.01880,1.204934957,1.849525226,1.182979277,64.130000000
0.01900,1.210988336,1.845587785,1.209283474,63.910000000
0.01920,1.215625462,1.845970433,1.212438290,64.040000000
0.01940,1.223144107,1.868831069,1.203506593,65.970000000
0.01960,1.230598121,1.877256659,1.213299173,62.740000000
0.01980,1.233459001,1.874600168,1.218431040,62.470000000
0.02000,1.241560270,1.882692319,1.222765864,63.130000000
0.02020,1.245997009,1.884586138,1.233465463,64.960000000
0.02040,1.253197175,1.902553725,1.237371489,62.630000000
0.02060,1.259277058,1.908258312,1.250598466,61.000000000
0.02080,1.261291627,1.904005668,1.250280858,62.720000000
0.02100,1.266926147,1.906687586,1.257423839,62.450000000
0.02120,1.272915849,1.913819699,1.253451874,62.580000000
0.02140,1.280820420,1.923837504,1.262398223,63.790000000
0.02160,1.285444957,1.934396277,1.266967241,64.160000000
0.02180,1.290095291,1.938264375,1.284802766,63.290000000
0.02200,1.296187202,1.940834980,1.283889556,61.150000000
0.02220,1.303987406,1.950211000,1.287626558,64.030000000
0.02240,1.309978059,1.960155183,1.322053439,59.320000000
0.02260,1.316738849,1.954121068,1.316768416,61.830000000
0.02280,1.320731396,1.978887572,1.299992158,57.370000000
0.02300,1.328273214,1.969741358,1.322404905,57.460000000
0.02320,1.331071847,1.966122109,1.329870701,60.340000000
0.02340,1.339347967,1.978307513,1.340063695,60.820000000
0.02360,1.346852861,1.995887522,1.328682327,58.720000000
0.02380,1.353790707,1.992158178,1.339086948,61.210000000
0.02400,1.357131872,1.988885519,1.359625472,62.880000000
0.02420,1.364267475,2.009999874,1.345321185,59.050000000
0.02440,1.372557018,1.999945639,1.367735771,61.360000000
0.02460,1.379558545,2.022911973,1.360917725,60.050000000
0.02480,1.383791024,2.011282896,1.384105367,59.410000000
0.02500,1.388723760,2.006210237,1.404035362,52.840000000
0.02520,1.397239734,2.022747177,1.380715048,60.100000000
