L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.00000,0.009980488,0.009980488,0.106987055,97.700000000
0.00020,0.076029358,0.198179505,0.090888711,97.390000000
0.00040,0.110278393,0.273092407,0.110741601,96.700000000
0.00060,0.140902876,0.337956129,0.124320473,96.530000000
0.00080,0.167140955,0.390103895,0.161491478,95.810000000
0.00100,0.190433665,0.435112819,0.171653825,95.530000000
0.00120,0.215255889,0.476575810,0.208029535,94.290000000
0.00140,0.234308645,0.513436614,0.227944059,94.070000000
0.00160,0.258100573,0.553646886,0.247802233,93.930000000
0.00180,0.277396279,0.587899301,0.255086055,93.340000000
0.00200,0.293710695,0.617672091,0.289041608,93.080000000
0.00220,0.311979836,0.646259087,0.297443886,92.330000000
0.00240,0.329483397,0.676960997,0.345186860,90.970000000
0.00260,0.344219600,0.699515813,0.329283317,91.790000000
0.00280,0.359760653,0.725881802,0.350270160,91.160000000
0.00300,0.373764608,0.749105871,0.396560384,89.110000000
0.00320,0.389732421,0.777072777,0.369752133,90.510000000
0.00340,0.400680600,0.793526797,0.388775741,90.430000000
0.00360,0.415029379,0.817384448,0.412768249,89.740000000
0.00380,0.428164848,0.836267314,0.407921223,89.680000000
0.00400,0.438304386,0.861527195,0.414798583,90.060000000
0.00420,0.451718604,0.876739686,0.456938667,88.180000000
0.00440,0.461954941,0.895588986,0.466250275,88.100000000
0.00460,0.475742442,0.917468188,0.468609432,88.790000000
0.00480,0.486605443,0.927865673,0.463778404,89.080000000
0.00500,0.497206328,0.955096495,0.469637759,88.730000000
0.00520,0.506367172,0.972039249,0.480328175,88.820000000
0.00540,0.514695443,0.986020084,0.501461529,87.220000000
0.00560,0.524101382,0.995333828,0.495183607,88.250000000
0.00580,0.534502872,1.022306183,0.511658361,88.130000000
0.00600,0.543547385,1.030776984,0.544586330,86.230000000
0.00620,0.554759404,1.047445504,0.548759057,86.820000000
0.00640,0.566530904,1.056129000,0.542135202,87.220000000
0.00660,0.580973679,1.069744939,0.573056576,85.880000000
0.00680,0.587299116,1.085754078,0.559923309,86.870000000
0.00700,0.599655553,1.103336667,0.570021235,86.730000000
0.00720,0.601920928,1.105657750,0.587591544,87.120000000
0.00740,0.612262749,1.121297521,0.610423125,84.720000000
0.00760,0.619394448,1.142440304,0.598889992,85.930000000
0.00780,0.626191369,1.153784674,0.598128011,86.320000000
0.00800,0.634590624,1.165100756,0.607376586,86.920000000
0.00820,0.644331757,1.186713473,0.641022751,82.340000000
0.00840,0.652091363,1.188145138,0.636731025,85.970000000
0.00860,0.660969618,1.198523256,0.639965907,85.940000000
0.00880,0.666881900,1.219297717,0.649875437,83.870000000
0.00900,0.676260660,1.232498419,0.640245294,85.690000000
0.00920,0.685260035,1.248558939,0.658808794,84.650000000
0.00940,0.693369072,1.255367398,0.681336460,83.620000000
0.00960,0.699904918,1.261125157,0.673401864,84.750000000
