L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.00000,0.009980488,0.009980488,0.106987055,97.700000000
0.00020,0.074754203,0.186426567,0.089051720,97.400000000
0.00040,0.107061218,0.245675976,0.111527088,96.640000000
0.00060,0.136919607,0.297132296,0.118788270,96.670000000
0.00080,0.162392267,0.336089643,0.162151723,95.460000000
0.00100,0.183514850,0.369436038,0.165292850,95.680000000
0.00120,0.203101444,0.400050089,0.202571230,94.190000000
0.00140,0.221740681,0.424228947,0.213094921,94.400000000
0.00160,0.241299576,0.452171304,0.238944390,93.600000000
0.00180,0.258604580,0.474681374,0.244978505,93.610000000
0.00200,0.274801240,0.496333299,0.256825195,93.390000000
0.00220,0.289651835,0.513913764,0.284455554,92.640000000
0.00240,0.304691694,0.528734126,0.286361265,92.760000000
0.00260,0.320537157,0.550628845,0.294460141,92.400000000
0.00280,0.335765821,0.563150764,0.335468215,91.230000000
0.00300,0.352458544,0.579160349,0.333776901,90.950000000
0.00320,0.369671737,0.593354965,0.347629549,91.170000000
0.00340,0.385248055,0.602530368,0.399604645,88.350000000
0.00360,0.394988022,0.613264348,0.390506469,88.830000000
0.00380,0.407696400,0.623161216,0.426305735,87.990000000
0.00400,0.421011876,0.637660451,0.404730101,88.850000000
0.00420,0.427982363,0.642691726,0.416524357,89.070000000
0.00440,0.437916151,0.653482648,0.428494884,87.990000000
0.00460,0.448174690,0.661000707,0.429026737,88.230000000
0.00480,0.459442725,0.672887671,0.437197037,88.350000000
0.00500,0.465516751,0.685598996,0.438860121,88.280000000
0.00520,0.473763329,0.687700550,0.466924478,87.730000000
0.00540,0.481003325,0.699151818,0.459531582,87.650000000
0.00560,0.486027462,0.700887579,0.531640129,84.310000000
0.00580,0.493567046,0.710639542,0.464219156,87.570000000
0.00600,0.500304292,0.716272637,0.479121496,87.520000000
0.00620,0.504389428,0.724910252,0.504651696,86.130000000
0.00640,0.509349512,0.733918262,0.486881253,86.710000000
0.00660,0.513690842,0.727351089,0.514776992,86.160000000
0.00680,0.521774145,0.737984348,0.511516677,86.320000000
0.00700,0.527505927,0.754294830,0.501059960,86.540000000
0.00720,0.532681726,0.756066310,0.516680184,85.840000000
0.00740,0.538400803,0.760715907,0.568740787,84.460000000
0.00760,0.544502129,0.772821270,0.525658920,85.440000000
0.00780,0.549947804,0.772322816,0.514613164,86.670000000
0.00800,0.556903697,0.779674861,0.540227940,85.410000000
0.00820,0.563416545,0.784610954,0.531972462,86.060000000
0.00840,0.571553627,0.789821335,0.570472388,84.100000000
0.00860,0.592654295,0.790365357,0.556045524,85.400000000
0.00880,0.606676450,0.792688689,0.584967027,83.270000000
0.00900,0.610264466,0.799300859,0.586758843,84.100000000
0.00920,0.613881044,0.798036761,0.587376100,83.440000000
0.00940,0.616896430,0.800501475,0.597028005,82.990000000
0.00960,0.622402344,0.803344623,0.598368262,82.650000000
0.00980,0.627198383,0.818550090,0.593343226,84.550000000
0.01000,0.630054020,0.818618645,0.602161387,82.790000000
0.01020,0.632245556,0.816908828,0.631244892,82.140000000
0.01040,0.635581416,0.829782247,0.615396079,83.040000000
0.01060,0.640543292,0.825530607,0.607138526,83.760000000
0.01080,0.639892362,0.831979795,0.636899033,81.430000000
0.01100,0.642917175,0.827560272,0.614590597,83.280000000
0.01120,0.647397184,0.836564643,0.617301495,82.830000000
0.01140,0.650678860,0.835741320,0.635346682,81.290000000
0.01160,0.653270107,0.843965440,0.627854306,82.310000000
0.01180,0.654492815,0.841447749,0.636041367,82.730000000
0.01200,0.659358676,0.850955730,0.647657134,81.190000000
0.01220,0.662222046,0.852859204,0.658713341,80.330000000
0.01240,0.663591519,0.856322404,0.641029350,81.090000000
0.01260,0.667362012,0.855739580,0.635988734,82.300000000
0.01280,0.671708261,0.864907724,0.641605068,82.690000000
0.01300,0.671939851,0.861375101,0.652385321,81.620000000
0.01320,0.673749378,0.864171163,0.653072740,82.760000000
0.01340,0.676262198,0.866183891,0.654277511,81.610000000
0.01360,0.679643557,0.864889498,0.650177487,82.310000000
0.01380,0.681551024,0.876704480,0.663272946,81.850000000
0.01400,0.683339624,0.875323190,0.648789262,82.650000000
0.01420,0.686337437,0.875351022,0.654758628,82.290000000
0.01440,0.689373013,0.881477063,0.669317592,81.820000000
0.01460,0.691603117,0.880446298,0.668773175,81.920000000
0.01480,0.692913355,0.878080893,0.695199922,80.660000000
0.01500,0.695785911,0.882863309,0.673057267,81.450000000
0.01520,0.697327075,0.884278946,0.694924729,79.170000000
0.01540,0.699849401,0.889247007,0.685511071,81.540000000
0.01560,0.702423984,0.892370025,0.677512181,81.060000000
0.01580,0.706319551,0.893487416,0.696936854,81.610000000
0.01600,0.708468400,0.898324570,0.675752842,81.890000000
0.01620,0.708949568,0.893101420,0.713733818,81.060000000
0.01640,0.711093486,0.898916838,0.689998812,80.870000000
0.01660,0.713396785,0.906613588,0.708100644,79.500000000
0.01680,0.716263237,0.906526374,0.685944523,80.340000000
0.01700,0.718790249,0.905556287,0.689956236,81.330000000
0.01720,0.719391458,0.912100479,0.713242966,78.780000000
0.01740,0.723579779,0.910476020,0.714191754,80.540000000
0.01760,0.723047851,0.914378664,0.697481656,80.320000000
