L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.00000,0.009980488,0.009980488,0.106987055,97.700000000
0.00020,0.075946010,0.194109413,0.090551152,97.450000000
0.00040,0.109598612,0.262903727,0.112802918,96.580000000
0.00060,0.139858679,0.321647345,0.121944025,96.610000000
0.00080,0.166042810,0.367295727,0.165687473,95.520000000
0.00100,0.189908310,0.410213440,0.175173233,95.400000000
0.00120,0.212907200,0.450157798,0.196636567,94.370000000
0.00140,0.230712926,0.478151604,0.224616580,94.290000000
0.00160,0.252223075,0.512447758,0.240325290,93.990000000
0.00180,0.269817189,0.538634099,0.281270920,92.880000000
0.00200,0.286371814,0.563706531,0.287724710,92.440000000
0.00220,0.304959770,0.589961753,0.312100910,91.510000000
0.00240,0.322172537,0.615771115,0.336294852,91.150000000
0.00260,0.338486700,0.640349374,0.333548055,91.370000000
0.00280,0.353277574,0.662043370,0.334956525,91.070000000
0.00300,0.367098391,0.676015719,0.350493252,91.090000000
0.00320,0.381986359,0.693262385,0.371098819,90.700000000
0.00340,0.396835738,0.721620302,0.399674282,89.560000000
0.00360,0.410073294,0.736057975,0.382196608,90.680000000
0.00380,0.419991868,0.753056655,0.392235016,90.390000000
0.00400,0.434264025,0.764160631,0.410345764,89.860000000
0.00420,0.442524644,0.780507910,0.417852695,89.650000000
0.00440,0.454822007,0.804356541,0.428542386,89.480000000
0.00460,0.464673364,0.811179756,0.454750180,88.090000000
0.00480,0.475037715,0.830596199,0.543522821,86.390000000
0.00500,0.489638385,0.835199984,0.466923033,88.330000000
0.00520,0.504047676,0.849827126,0.473281135,88.450000000
0.00540,0.517069179,0.864210053,0.492721860,87.900000000
0.00560,0.524116496,0.871984517,0.493120846,87.810000000
0.00580,0.531573749,0.884322977,0.525420439,86.160000000
0.00600,0.539515663,0.902537613,0.519832255,87.150000000
0.00620,0.546619106,0.910724266,0.517260429,86.640000000
0.00640,0.551129433,0.911997646,0.540276018,86.730000000
0.00660,0.560628998,0.930547260,0.539739574,87.040000000
0.00680,0.565069410,0.936590485,0.561299085,85.220000000
0.00700,0.573701342,0.955570750,0.546680555,86.700000000
0.00720,0.578440848,0.958681455,0.552010678,86.900000000
0.00740,0.586112401,0.975025190,0.569443666,85.920000000
0.00760,0.594041406,0.981422577,0.569203731,86.560000000
0.00780,0.600212125,0.996671530,0.559297106,86.810000000
0.00800,0.605630749,1.004752087,0.575679665,85.760000000
0.00820,0.611317770,1.004420316,0.597443734,85.770000000
0.00840,0.619784336,1.024699046,0.604008599,86.350000000
0.00860,0.625252989,1.021751327,0.620940764,84.860000000
0.00880,0.633079515,1.033313682,0.632952232,83.310000000
0.00900,0.640507858,1.052218994,0.612865731,85.450000000
0.00920,0.646864214,1.055511948,0.616639603,85.670000000
0.00940,0.654932389,1.056992087,0.632395415,84.700000000
0.00960,0.666257137,1.064750044,0.655196049,83.700000000
0.00980,0.678769036,1.072729716,0.661205412,83.430000000
0.01000,0.723641896,1.085065236,0.707975446,80.870000000
0.01020,0.732327664,1.092958776,0.727944939,80.880000000
