,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r1
0,0.0,0.007790369,0.007790369,0.125478448,97.67,144.04441833496094
1,1e-08,0.006197227,0.006433179,0.12820394,97.71,153.60739135742188
2,2e-08,0.0037497,0.004260355,0.140041973,97.59,159.78976440429688
3,3e-08,0.005564753,0.006373939,0.142786682,97.47,164.2341766357422
4,4e-08,0.003006404,0.004156976,0.143466301,97.66,169.6003875732422
5,5e-08,0.005330638,0.006815786,0.14348308,97.55,172.34547424316406
6,6e-08,0.00357324,0.005387138,0.150529474,97.66,173.8724365234375
7,7e-08,0.003981132,0.006244285,0.159527361,97.5,179.8075714111328
8,8e-08,0.003152162,0.00579939,0.153322977,97.51,181.9075164794922
9,9e-08,0.003998028,0.007019113,0.166770163,97.33,183.2146759033203
10,1e-07,0.004253001,0.007603811,0.159990716,97.71,183.05218505859375
11,1.1e-07,0.002364206,0.006017794,0.145965872,97.69,182.24826049804688
12,1.2e-07,0.004530778,0.008397913,0.13964738,97.78,179.51637268066406
13,1.3e-07,0.002982088,0.007168513,0.143576115,97.68,179.45269775390625
14,1.4e-07,0.003147976,0.007589504,0.138661783,97.72,178.1156768798828
15,1.5e-07,0.002997317,0.007724771,0.151319672,97.73,177.52847290039062
16,1.6e-07,0.005152217,0.010195629,0.143981605,97.89,177.54244995117188
17,1.7e-07,0.002308159,0.007648625,0.148283061,97.75,177.2413787841797
18,1.8e-07,0.003757056,0.00926902,0.148767018,97.55,174.9915008544922
19,1.9e-07,0.004501937,0.010246332,0.152515118,97.67,173.87828063964844
20,2e-07,0.002504277,0.008442322,0.154192635,97.74,172.3085174560547
21,2.1e-07,0.002633872,0.008731495,0.148131697,97.73,170.40040588378906
22,2.2e-07,0.003636621,0.009821893,0.145291134,97.73,167.67491149902344
23,2.3e-07,0.002650489,0.009008496,0.166041519,97.45,166.26336669921875
24,2.4e-07,0.004441893,0.011116129,0.141435913,97.7,166.76126098632812
25,2.5e-07,0.001709691,0.008484389,0.13702915,97.89,164.6171112060547
26,2.6e-07,0.004682617,0.01145347,0.141586747,97.69,161.37452697753906
27,2.7e-07,0.005186908,0.012113376,0.130468555,97.83,160.16737365722656
28,2.8e-07,0.003423635,0.010526836,0.133647315,97.65,159.27513122558594
29,2.9e-07,0.003884095,0.011203156,0.141932674,97.64,158.8651580810547
30,3e-07,0.002946516,0.010528659,0.137674528,97.79,158.97738647460938
31,3.1e-07,0.00547902,0.013102186,0.140780181,97.71,156.8147430419922
32,3.2e-07,0.002285767,0.010146433,0.136503516,97.77,156.7309112548828
33,3.3e-07,0.001724361,0.00965854,0.146727096,97.71,155.05795288085938
34,3.4e-07,0.003891045,0.011683268,0.137708113,97.53,151.38792419433594
35,3.5e-07,0.002966522,0.011049352,0.137548726,97.66,151.96644592285156
36,3.6e-07,0.003853529,0.012086025,0.134624543,97.72,151.22183227539062
37,3.7e-07,0.003033213,0.011231166,0.135919115,97.77,148.8510284423828
38,3.8e-07,0.002723773,0.011068733,0.147030911,97.71,148.19049072265625
39,3.9e-07,0.002752301,0.011126895,0.134127554,97.69,146.5377655029297
40,4e-07,0.005811431,0.014380867,0.141980866,97.51,146.3679962158203
41,4.1e-07,0.004100528,0.012713844,0.138133115,97.7,144.94166564941406
42,4.2e-07,0.002598255,0.011282795,0.132392237,97.53,143.79664611816406
43,4.3e-07,0.003270113,0.012012814,0.135896065,97.67,142.58982849121094
44,4.4e-07,0.00342153,0.012259418,0.133610133,97.46,141.7254638671875
45,4.5e-07,0.003765838,0.012735373,0.128392713,97.63,141.18179321289062
46,4.6e-07,0.003986395,0.013111509,0.133990435,97.65,140.8446044921875
47,4.7e-07,0.004659001,0.013893517,0.132120377,97.41,140.17098999023438
48,4.8e-07,0.003932867,0.013303547,0.133875752,97.65,139.7220458984375
49,4.9e-07,0.004127786,0.013439726,0.115226092,97.77,137.85484313964844
50,5e-07,0.005756023,0.015319207,0.134263806,97.44,138.29811096191406
51,5.1e-07,0.004095458,0.013825399,0.139395857,97.36,138.12428283691406
52,5.2e-07,0.003982891,0.01373319,0.143563421,97.38,136.9327392578125
53,5.3e-07,0.002186471,0.011962423,0.144076224,97.48,135.8130645751953
54,5.4e-07,0.002013401,0.011812118,0.139326125,97.61,134.70623779296875
55,5.5e-07,0.005803227,0.015680876,0.138111819,97.45,134.01254272460938
56,5.6e-07,0.004586173,0.014541727,0.12399936,97.47,133.3333282470703
57,5.7e-07,0.004042353,0.014018998,0.128886264,97.54,132.29847717285156
58,5.8e-07,0.004459937,0.014577926,0.119760133,97.69,132.07879638671875
59,5.9e-07,0.002429871,0.01241524,0.136536183,97.49,130.0936279296875
60,6e-07,0.005423896,0.015419025,0.125586138,97.44,129.0679931640625
61,6.1e-07,0.006404875,0.016473255,0.127094913,97.6,128.47389221191406
62,6.2e-07,0.003622306,0.013760385,0.130155503,97.55,127.8739242553711
63,6.3e-07,0.007442624,0.017598491,0.140507613,97.44,126.96623229980469
64,6.4e-07,0.004578497,0.014887845,0.119163973,97.74,126.918701171875
65,6.5e-07,0.003079101,0.013430401,0.126074376,97.76,126.19459533691406
66,6.6e-07,0.002312767,0.012687442,0.123320709,97.78,125.37625122070312
67,6.7e-07,0.006021083,0.016250635,0.124659212,97.62,123.56370544433594
68,6.8e-07,0.005985648,0.016250944,0.122581108,97.58,122.86587524414062
69,6.9e-07,0.003602694,0.01403329,0.125620712,97.75,122.95043182373047
70,7e-07,0.003320191,0.01383255,0.125803772,97.66,122.54655456542969
71,7.1e-07,0.00449457,0.014961858,0.133975647,97.57,121.41935729980469
72,7.2e-07,0.004401992,0.014859013,0.116659565,97.67,120.51406860351562
73,7.3e-07,0.003479705,0.01419993,0.143556556,97.28,121.18267059326172
