,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.009980488,0.009980488,0.106987055,97.7,89.93096160888672
1,0.0002,0.04673819,0.239886823,0.086527434,97.26,31.076398849487305
2,0.0004,0.072951518,0.320133306,0.097133151,97.18,24.858675003051758
3,0.0006,0.094183391,0.391977665,0.106100237,96.88,22.278324127197266
4,0.0008,0.111655776,0.456193691,0.103001687,97.22,20.75263214111328
5,0.001,0.128128897,0.508436453,0.12899565,96.63,19.501476287841797
6,0.0012,0.141829909,0.562717824,0.161535804,95.74,18.72804832458496
7,0.0014,0.153334674,0.604322448,0.159827636,95.69,17.94809341430664
8,0.0016,0.168348228,0.648246128,0.155713587,96.1,17.31865882873535
9,0.0018,0.18178684,0.691958026,0.166979772,95.8,16.8353328704834
10,0.002,0.192911795,0.736249015,0.171961462,95.81,16.482358932495117
11,0.0022,0.205806255,0.772622747,0.186767187,95.26,16.05129051208496
12,0.0024,0.214376089,0.799073306,0.244424922,93.02,15.608455657958984
13,0.0026,0.229186498,0.832683013,0.214696827,94.66,15.235280990600586
14,0.0028,0.237742153,0.866533004,0.218571519,94.35,14.985596656799316
15,0.003,0.248628803,0.898902515,0.267140736,93.46,14.722691535949707
16,0.0032,0.260725138,0.922670743,0.236515913,94.05,14.38255500793457
17,0.0034,0.273048528,0.955645428,0.255107778,93.5,14.169107437133789
18,0.0036,0.281578971,0.979789347,0.2629419,93.41,13.926498413085938
19,0.0038,0.29095224,1.005440839,0.265856654,93.14,13.712163925170898
20,0.004,0.299255522,1.02922299,0.286725326,92.36,13.508955955505371
21,0.0042,0.310659237,1.058511355,0.288577023,92.94,13.343913078308105
22,0.0044,0.316619409,1.0764099,0.298863678,92.7,13.140754699707031
23,0.0046,0.326407646,1.102055904,0.319488274,91.67,12.985344886779785
24,0.0048,0.333839054,1.126462711,0.325543227,91.96,12.850292205810547
25,0.005,0.340152281,1.145500868,0.338470125,91.45,12.691325187683105
26,0.0052,0.349462158,1.171740326,0.326724609,92.21,12.57498550415039
27,0.0054,0.357942795,1.196814042,0.367374382,90.2,12.463804244995117
28,0.0056,0.36493081,1.209409631,0.355292425,91.36,12.280050277709961
29,0.0058,0.374096264,1.246150637,0.362823224,91.03,12.261908531188965
30,0.006,0.381464334,1.256775125,0.356426245,91.47,12.078293800354004
31,0.0062,0.387269233,1.278627366,0.380898418,90.12,11.9902982711792
32,0.0064,0.395589733,1.305399499,0.373286074,90.62,11.922987937927246
33,0.0066,0.401176863,1.309610225,0.384397132,90.69,11.73206901550293
34,0.0068,0.408202256,1.337125669,0.385963182,90.86,11.687874794006348
35,0.007,0.414718396,1.366943554,0.387977766,90.74,11.66327953338623
36,0.0072,0.422108201,1.378998704,0.405891632,90.11,11.528282165527344
37,0.0074,0.427943158,1.399474204,0.421458139,89.55,11.458094596862793
38,0.0076,0.434467578,1.419723224,0.419662766,89.13,11.385908126831055
39,0.0078,0.440241009,1.421139272,0.42265318,90.39,11.214101791381836
40,0.008,0.447784175,1.444092403,0.431741311,89.5,11.159675598144531
41,0.0082,0.45429256,1.458048021,0.433799605,89.27,11.06386661529541
42,0.0084,0.459351675,1.475813262,0.441199516,89.38,11.000332832336426
43,0.0086,0.467126454,1.504637797,0.478934987,87.6,10.983660697937012
44,0.0088,0.478383563,1.525127087,0.45658872,88.76,10.906328201293945
45,0.009,0.483809822,1.518016952,0.463403713,89.09,10.719685554504395
46,0.0092,0.488479513,1.543501895,0.498952071,86.84,10.708699226379395
47,0.0094,0.494362501,1.546641482,0.482928689,88.46,10.5803804397583
48,0.0096,0.497826339,1.57449631,0.482274847,88.83,10.590238571166992
49,0.0098,0.505113136,1.603099837,0.493458032,87.61,10.584868431091309
50,0.01,0.509158471,1.611887735,0.522899176,86.43,10.50109577178955
51,0.0102,0.512522418,1.611646736,0.503174624,87.75,10.38061809539795
52,0.0104,0.517014413,1.640484506,0.503462279,88.32,10.393555641174316
53,0.0106,0.521860388,1.656341012,0.500989851,88.34,10.345353126525879
54,0.0108,0.526605966,1.666599063,0.514445248,88.56,10.273979187011719
55,0.011,0.531429407,1.676719393,0.505879801,88.81,10.203781127929688
56,0.0112,0.537614687,1.68819756,0.517481618,88.4,10.135605812072754
57,0.0114,0.544150712,1.71834819,0.525912872,87.51,10.148885726928711
58,0.0116,0.548342339,1.72912821,0.519254262,88.41,10.089183807373047
59,0.0118,0.555587985,1.731959993,0.532639961,87.9,9.984612464904785
60,0.012,0.571072075,1.743850151,0.540525469,87.55,9.885916709899902
61,0.0122,0.576401949,1.74694258,0.578938036,85.44,9.795195579528809
62,0.0124,0.581556584,1.760377467,0.552470462,86.73,9.750190734863281
63,0.0126,0.586401677,1.793630525,0.547272306,87.27,9.788348197937012
64,0.0128,0.587834637,1.791423504,0.568563238,86.07,9.696931838989258
65,0.013,0.589809697,1.796856206,0.576330052,86.7,9.635858535766602
66,0.0132,0.59772096,1.829287748,0.569478324,86.99,9.659220695495605
67,0.0134,0.600309282,1.838519295,0.570718213,86.06,9.612689971923828
68,0.0136,0.603739439,1.840229936,0.610574091,84.96,9.535116195678711
69,0.0138,0.606995596,1.869085677,0.577174329,86.77,9.563258171081543
70,0.014,0.612363516,1.853462149,0.598738865,86.11,9.415404319763184
71,0.0142,0.617287271,1.87882692,0.60321113,85.99,9.425543785095215
72,0.0144,0.620302909,1.903134586,0.602453248,86.27,9.43850326538086
73,0.0146,0.625165679,1.92567311,0.59816418,86.03,9.437990188598633
74,0.0148,0.628854111,1.933891129,0.591358521,87.4,9.390312194824219
75,0.015,0.631314743,1.949606369,0.594933324,86.74,9.374751091003418
76,0.0152,0.63487463,1.960503493,0.610606488,86.47,9.338768005371094
77,0.0154,0.639247714,1.96672426,0.616828989,85.7,9.284385681152344
78,0.0156,0.643419131,1.989331411,0.615428043,86.02,9.288504600524902
79,0.0158,0.650099658,2.021195311,0.620767225,86.36,9.315485954284668
80,0.016,0.654252303,2.016967147,0.650081865,84.6,9.228736877441406
81,0.0162,0.655320474,2.011134604,0.636885821,86.3,9.148343086242676
82,0.0164,0.660657403,2.034336828,0.636966794,85.91,9.152097702026367
83,0.0166,0.665967418,2.053183693,0.628882818,86.27,9.141515731811523
84,0.0168,0.666555279,2.060077545,0.646315522,85.14,9.107556343078613
85,0.017,0.671781159,2.061279931,0.67745151,83.79,9.040749549865723
86,0.0172,0.674337152,2.085543533,0.638256893,85.79,9.05797290802002
87,0.0174,0.679719991,2.099111663,0.653342066,85.73,9.031846046447754
88,0.0176,0.681838756,2.107158788,0.661190068,85.39,8.999114036560059
89,0.0178,0.685827736,2.112626912,0.679377296,85.36,8.953065872192383
90,0.018,0.690281274,2.132086877,0.675868053,84.9,8.949867248535156
91,0.0182,0.693917851,2.138167943,0.675062823,85.85,8.908100128173828
92,0.0184,0.699418551,2.148532821,0.682601736,85.0,8.874466896057129
93,0.0186,0.703440313,2.16334732,0.69231251,85.12,8.859435081481934
94,0.0188,0.709900889,2.187145829,0.684997827,85.69,8.864354133605957
95,0.019,0.711523852,2.201794315,0.668445482,85.91,8.856368064880371
96,0.0192,0.714790838,2.196227899,0.678427798,86.07,8.783977508544922
97,0.0194,0.719272846,2.21357993,0.684670638,84.99,8.77645206451416
98,0.0196,0.722034475,2.214578991,0.711589386,84.67,8.726409912109375
99,0.0198,0.72978944,2.230758659,0.703427739,84.75,8.70668888092041
100,0.02,0.731039821,2.238260279,0.703500315,85.24,8.681068420410156
101,0.0202,0.735779435,2.240188583,0.720489152,84.21,8.629923820495605
102,0.0204,0.738858333,2.259959325,0.710549057,85.92,8.63503360748291
103,0.0206,0.744108502,2.298336476,0.713845527,84.21,8.686073303222656
104,0.0208,0.74974359,2.305782494,0.712664662,84.71,8.649248123168945
105,0.021,0.753079095,2.287994012,0.735326055,82.76,8.549337387084961
106,0.0212,0.756331974,2.293905354,0.73370256,85.52,8.516277313232422
107,0.0214,0.761623197,2.315903995,0.736556624,84.68,8.522323608398438
108,0.0216,0.767578941,2.329012639,0.75839083,83.31,8.502270698547363
109,0.0218,0.773461293,2.356168203,0.736780366,84.63,8.520636558532715
110,0.022,0.777567063,2.356580338,0.749883324,85.25,8.471908569335938
111,0.0222,0.780234096,2.346663331,0.754730155,83.89,8.399993896484375
112,0.0224,0.784404541,2.374589722,0.758915875,82.95,8.42557430267334
113,0.0226,0.78770533,2.360821167,0.766402865,83.76,8.34307861328125
114,0.0228,0.79300177,2.380654074,0.766810012,84.66,8.344694137573242
115,0.023,0.798420362,2.386294935,0.766048505,84.99,8.30891227722168
116,0.0232,0.803934393,2.402037945,0.801621129,80.9,8.299628257751465
117,0.0234,0.80679536,2.401285985,0.787505049,83.46,8.254730224609375
118,0.0236,0.810479201,2.412555708,0.788887494,82.62,8.239205360412598
119,0.0238,0.818966793,2.44022994,0.795494614,80.69,8.253495216369629
120,0.024,0.820807549,2.430098259,0.822318758,77.71,8.18863582611084
121,0.0242,0.829838519,2.446816968,0.80955905,82.25,8.174181938171387
122,0.0244,0.831370324,2.450965747,0.824263036,82.92,8.147204399108887
123,0.0246,0.839662922,2.462618231,0.834772338,80.94,8.122424125671387
124,0.0248,0.842648,2.475631466,0.821172091,81.81,8.114559173583984
125,0.025,0.857251067,2.465165229,0.828196218,80.37,8.01975154876709
126,0.0252,0.896797876,2.405535307,0.87203593,79.09,7.737598896026611
127,0.0254,0.896301092,2.409018447,0.879736481,79.26,7.717240810394287
128,0.0256,0.902533718,2.430630007,0.884954301,78.38,7.726011753082275
129,0.0258,0.904966822,2.443869346,0.880335296,78.05,7.723176956176758
130,0.026,0.907195593,2.447066977,0.897014137,78.01,7.695832252502441
131,0.0262,0.911444643,2.451657614,0.881920887,77.75,7.667240619659424
132,0.0264,0.915009885,2.446736789,0.888719076,78.62,7.617074966430664
133,0.0266,0.919017856,2.466981104,0.896813429,79.03,7.628504276275635
134,0.0268,0.922506546,2.481713379,0.892636876,79.9,7.6275410652160645
135,0.027,0.926800617,2.471386341,0.912704123,80.03,7.563513278961182
136,0.0272,0.929238467,2.497566598,0.897498383,78.77,7.593360900878906
137,0.0274,0.933717219,2.494362034,0.90744801,80.16,7.5470476150512695
138,0.0276,0.939160006,2.505036863,0.934902427,76.01,7.532243251800537
139,0.0278,0.941460996,2.515448078,0.907924575,79.3,7.52451753616333
140,0.028,0.944875505,2.510932817,0.947343442,76.2,7.478679656982422
141,0.0282,0.948403298,2.518074783,0.924792667,77.55,7.460700035095215
142,0.0284,0.953159797,2.552170237,0.933646714,76.22,7.503530502319336
143,0.0286,0.957644036,2.527376808,0.941547823,77.48,7.40848445892334
144,0.0288,0.961932531,2.5446234,0.941662764,77.69,7.413127422332764
145,0.029,0.963039083,2.542025605,0.948974489,77.57,7.378880023956299
146,0.0292,0.967358512,2.56372981,0.940319521,77.56,7.393930435180664
147,0.0294,0.970464197,2.559770591,0.959516466,76.68,7.352410316467285
148,0.0296,0.974948267,2.577594663,0.991875179,76.3,7.358222961425781
149,0.0298,0.978280776,2.568219748,0.960850631,76.26,7.304362773895264
150,0.03,0.982118656,2.611530277,0.946532971,79.36,7.369776725769043
151,0.0302,0.98693362,2.597729277,0.953625014,77.94,7.303264141082764
152,0.0304,0.988259061,2.583889127,0.966267186,78.89,7.244841575622559
153,0.0306,0.993314239,2.647687789,0.947352569,77.46,7.3528594970703125
154,0.0308,0.995683609,2.624722379,1.000584249,76.02,7.272607803344727
155,0.031,1.000731846,2.612794403,0.972427511,78.5,7.211236953735352
156,0.0312,1.006220293,2.64002477,0.975690129,77.39,7.236400604248047
157,0.0314,1.007685204,2.658354327,1.004224303,72.02,7.250446319580078
158,0.0316,1.012807469,2.678012493,0.99401957,74.36,7.25922155380249
159,0.0318,1.016944014,2.658549868,1.018227286,72.42,7.184904098510742
160,0.032,1.017663438,2.639051133,1.01011539,77.72,7.1181559562683105
161,0.0322,1.024249716,2.672035804,1.003080589,74.89,7.153562545776367
162,0.0324,1.026726554,2.679741816,0.983146319,78.34,7.142752647399902
163,0.0326,1.03175132,2.672499431,1.007651525,78.31,7.094338893890381
164,0.0328,1.036302179,2.681966581,1.016092691,78.71,7.0832648277282715
165,0.033,1.040050242,2.693588114,1.011550248,77.26,7.078640460968018
166,0.0332,1.041563239,2.670927481,1.026661477,75.94,7.0055084228515625
167,0.0334,1.049835851,2.688513413,1.037478567,75.86,7.004441261291504
168,0.0336,1.051051215,2.727740485,1.014920852,76.11,7.064093112945557
169,0.0338,1.05573331,2.704788279,1.034130421,77.06,6.9848833084106445
170,0.034,1.061883127,2.715858537,1.058867297,71.0,6.974686145782471
171,0.0342,1.064256007,2.737002399,1.04469608,73.65,6.993617057800293
172,0.0344,1.065450955,2.732102374,1.042316707,75.7,6.960538864135742
173,0.0346,1.072994651,2.732952696,1.037011066,76.32,6.926431655883789
174,0.0348,1.075579116,2.727609234,1.075818681,74.76,6.889991760253906
175,0.035,1.079527198,2.747022239,1.06596263,71.54,6.902371406555176
176,0.0352,1.084729271,2.738631639,1.053418025,76.37,6.854620933532715
177,0.0354,1.088571347,2.755515895,1.061645564,75.86,6.862137317657471
178,0.0356,1.090076728,2.737527486,1.075600353,77.35,6.802696704864502
179,0.0358,1.097526422,2.749782923,1.088992899,73.14,6.793560028076172
180,0.036,1.100499558,2.727185426,1.105112764,74.95,6.7220354080200195
181,0.0362,1.107705759,2.754749693,1.092945957,76.29,6.745243549346924
182,0.0364,1.111619731,2.804201679,1.086660603,69.43,6.819045066833496
183,0.0366,1.114767876,2.788672808,1.095728,74.3,6.7627668380737305
184,0.0368,1.122750653,2.786058459,1.10926582,71.37,6.722982883453369
185,0.037,1.126175316,2.78358672,1.121394376,76.01,6.692892074584961
186,0.0372,1.134235249,2.803339609,1.10692614,75.16,6.698383331298828
187,0.0374,1.136836746,2.814907223,1.113197096,74.73,6.698365688323975
188,0.0376,1.221931799,2.675958297,1.239173041,62.28,6.218591690063477
