,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,r0
0,0.0,0.009980488,0.009980488,0.106987055,97.7,98.469387755,98.942731278,97.480620155,97.02970297,97.963340122,97.533632287,98.121085595,97.276264591,97.94661191,96.134786918,89.93096160888672
1,0.0002,0.048429777,0.240832413,0.082583682,97.36,99.081632653,98.414096916,98.546511628,96.435643564,97.148676171,94.730941704,96.764091858,96.011673152,98.049281314,98.017839445,31.076398849487305
2,0.0004,0.073983491,0.321437739,0.075622073,97.83,98.367346939,99.383259912,97.965116279,97.722772277,98.472505092,96.30044843,98.85177453,96.984435798,96.714579055,97.224975223,24.858675003051758
3,0.0006,0.093410776,0.389630124,0.106363357,97.05,97.653061224,99.295154185,98.546511628,97.425742574,98.676171079,95.067264574,95.720250522,97.470817121,94.969199179,95.044598612,22.278324127197266
4,0.0008,0.110053118,0.451577654,0.110298467,96.93,99.081632653,99.030837004,96.124031008,97.128712871,98.370672098,94.394618834,97.077244259,97.568093385,93.839835729,96.134786918,20.75263214111328
5,0.001,0.125630957,0.507804877,0.118470477,96.81,98.87755102,98.678414097,94.864341085,97.425742574,95.926680244,96.860986547,96.137787056,96.692607004,96.509240246,95.936570862,19.501476287841797
6,0.0012,0.140488878,0.559210545,0.130046041,96.44,98.571428571,99.030837004,96.414728682,95.940594059,95.112016293,94.394618834,97.286012526,93.968871595,97.330595483,95.936570862,18.72804832458496
7,0.0014,0.155200412,0.604941867,0.150202872,96.06,99.081632653,98.502202643,95.833333333,95.346534653,96.945010183,92.376681614,97.807933194,94.844357977,94.558521561,94.747274529,17.94809341430664
8,0.0016,0.168853722,0.65261339,0.154347122,95.84,98.87755102,98.502202643,93.701550388,96.03960396,97.861507128,93.497757848,94.676409186,95.719844358,95.995893224,93.062438057,17.31865882873535
9,0.0018,0.182351885,0.69247517,0.178838371,95.07,96.734693878,98.149779736,93.023255814,92.079207921,96.537678208,96.97309417,97.181628392,93.287937743,94.455852156,92.368681863,16.8353328704834
10,0.002,0.191904195,0.730666219,0.191221259,94.7,97.244897959,98.854625551,89.534883721,92.673267327,96.843177189,95.852017937,96.659707724,91.439688716,94.558521561,93.359762141,16.482358932495117
11,0.0022,0.203764732,0.765438905,0.186267866,95.44,98.775510204,98.061674009,94.670542636,96.831683168,94.50101833,94.506726457,95.511482255,94.844357977,92.197125257,94.053518335,16.05129051208496
12,0.0024,0.215628687,0.799323438,0.220818612,94.23,97.653061224,97.621145374,96.414728682,92.475247525,96.232179226,91.928251121,97.39039666,93.968871595,91.786447639,86.32309217,15.608455657958984
13,0.0026,0.225961358,0.833755276,0.208398891,95.11,98.367346939,98.678414097,94.864341085,95.148514851,92.566191446,92.152466368,95.929018789,94.747081712,95.379876797,92.566897919,15.235280990600586
14,0.0028,0.236198164,0.859742048,0.226853166,93.98,98.979591837,97.709251101,94.186046512,93.663366337,96.435845214,88.004484305,93.006263048,91.926070039,92.813141684,92.07135778,14.985596656799316
15,0.003,0.249483363,0.894777705,0.242590069,93.71,98.163265306,98.942731278,90.600775194,93.564356436,95.112016293,88.789237668,96.972860125,97.178988327,87.577002053,89.098116947,14.722691535949707
16,0.0032,0.260724746,0.924937735,0.255035344,93.37,97.244897959,98.502202643,90.891472868,97.227722772,93.177189409,87.668161435,92.275574113,90.953307393,93.942505133,90.683845391,14.38255500793457
17,0.0034,0.271686917,0.944090042,0.260931967,93.18,97.959183673,98.59030837,93.604651163,93.366336634,96.33401222,83.968609865,95.720250522,90.564202335,90.143737166,90.089197225,14.169107437133789
18,0.0036,0.282806263,0.979915754,0.257025196,93.76,98.469387755,98.502202643,93.313953488,92.97029703,89.714867617,89.013452915,95.824634656,91.439688716,93.223819302,94.152626363,13.926498413085938
19,0.0038,0.290938275,0.997740247,0.282993447,92.95,98.06122449,98.502202643,87.790697674,96.930693069,93.279022403,87.892376682,91.858037578,92.315175097,90.041067762,91.674925669,13.712163925170898
20,0.004,0.299796774,1.038039328,0.284599464,92.51,96.734693878,99.118942731,93.023255814,88.316831683,91.344195519,87.107623318,96.972860125,92.607003891,87.679671458,90.882061447,13.508955955505371
21,0.0042,0.309432793,1.055357625,0.307305543,91.91,98.265306122,97.444933921,87.403100775,90.792079208,95.315682281,90.246636771,92.48434238,94.844357977,85.215605749,86.32309217,13.343913078308105
22,0.0044,0.319669916,1.082055988,0.303113064,92.19,97.857142857,98.237885463,86.627906977,86.831683168,90.936863544,90.470852018,91.127348643,93.287937743,93.018480493,92.765113974,13.140754699707031
23,0.0046,0.327038704,1.110691829,0.329846456,90.96,97.346938776,99.030837004,93.217054264,90.198019802,94.399185336,84.529147982,95.615866388,83.365758755,89.117043121,81.565906838,12.985344886779785
24,0.0048,0.333695869,1.126187105,0.316327807,91.77,97.346938776,97.621145374,88.759689922,85.940594059,95.621181263,92.600896861,94.885177453,91.147859922,88.19301848,85.332011893,12.850292205810547
25,0.005,0.345295073,1.154898955,0.332905723,91.55,98.775510204,95.242290749,92.054263566,88.316831683,86.6598778,85.201793722,94.154488518,88.521400778,90.862422998,94.747274529,12.691325187683105
26,0.0052,0.350040547,1.168166871,0.337027226,91.36,97.244897959,97.973568282,87.403100775,86.435643564,96.945010183,83.183856502,94.780793319,93.190661479,87.371663244,87.710604559,12.57498550415039
27,0.0054,0.359236586,1.19891063,0.333065449,91.78,97.755102041,96.651982379,88.178294574,90.099009901,93.279022403,88.228699552,93.319415449,93.190661479,86.550308008,89.692765114,12.463804244995117
28,0.0056,0.365187885,1.208406758,0.346554745,91.54,97.857142857,97.356828194,86.724806202,88.415841584,90.427698574,91.367713004,91.022964509,89.20233463,89.425051335,93.062438057,12.280050277709961
29,0.0058,0.373628784,1.232601651,0.355486251,91.34,97.551020408,96.740088106,91.279069767,86.732673267,94.50101833,82.286995516,94.572025052,92.217898833,90.965092402,85.232903865,12.261908531188965
30,0.006,0.380376093,1.254801569,0.388765184,89.61,96.836734694,97.092511013,84.205426357,77.821782178,95.315682281,81.950672646,92.275574113,89.494163424,92.197125257,87.809712587,12.078293800354004
