,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r4
0,0.0,0.009980488,0.009980488,0.106987055,97.7,89.68377685546875
1,0.0002,0.076029358,0.198179505,0.090888711,97.39,24.71337127685547
2,0.0004,0.110278393,0.273092407,0.110741601,96.7,20.17510986328125
3,0.0006,0.140902876,0.337956129,0.124320473,96.53,18.122419357299805
4,0.0008,0.167140955,0.390103895,0.161491478,95.81,16.694419860839844
5,0.001,0.190433665,0.435112819,0.171653825,95.53,15.642223358154297
6,0.0012,0.215255889,0.47657581,0.208029535,94.29,14.756916999816895
7,0.0014,0.234308645,0.513436614,0.227944059,94.07,14.120096206665039
8,0.0016,0.258100573,0.553646886,0.247802233,93.93,13.591042518615723
9,0.0018,0.277396279,0.587899301,0.255086055,93.34,13.133989334106445
10,0.002,0.293710695,0.617672091,0.289041608,93.08,12.727164268493652
11,0.0022,0.311979836,0.646259087,0.297443886,92.33,12.3266019821167
12,0.0024,0.329483397,0.676960997,0.34518686,90.97,12.032553672790527
13,0.0026,0.3442196,0.699515813,0.329283317,91.79,11.689841270446777
14,0.0028,0.359760653,0.725881802,0.35027016,91.16,11.434926986694336
15,0.003,0.373764608,0.749105871,0.396560384,89.11,11.185425758361816
16,0.0032,0.389732421,0.777072777,0.369752133,90.51,11.001993179321289
17,0.0034,0.4006806,0.793526797,0.388775741,90.43,10.749092102050781
18,0.0036,0.415029379,0.817384448,0.412768249,89.74,10.571910858154297
19,0.0038,0.428164848,0.836267314,0.407921223,89.68,10.363174438476562
20,0.004,0.438304386,0.861527195,0.414798583,90.06,10.286190032958984
21,0.0042,0.451718604,0.876739686,0.456938667,88.18,10.05959701538086
22,0.0044,0.461954941,0.895588986,0.466250275,88.1,9.927395820617676
23,0.0046,0.475742442,0.917468188,0.468609432,88.79,9.79935359954834
24,0.0048,0.486605443,0.927865673,0.463778404,89.08,9.587971687316895
25,0.005,0.497206328,0.955096495,0.469637759,88.73,9.56964111328125
26,0.0052,0.506367172,0.972039249,0.480328175,88.82,9.46320915222168
27,0.0054,0.514695443,0.986020084,0.501461529,87.22,9.342501640319824
28,0.0056,0.524101382,0.995333828,0.495183607,88.25,9.173256874084473
29,0.0058,0.534502872,1.022306183,0.511658361,88.13,9.17082405090332
30,0.006,0.543547385,1.030776984,0.54458633,86.23,9.011378288269043
31,0.0062,0.554759404,1.047445504,0.548759057,86.82,8.914342880249023
32,0.0064,0.566530904,1.056129,0.542135202,87.22,8.746410369873047
33,0.0066,0.580973679,1.069744939,0.573056576,85.88,8.605594635009766
34,0.0068,0.587299116,1.085754078,0.559923309,86.87,8.561670303344727
35,0.007,0.599655553,1.103336667,0.570021235,86.73,8.482596397399902
36,0.0072,0.601920928,1.10565775,0.587591544,87.12,8.364415168762207
37,0.0074,0.612262749,1.121297521,0.610423125,84.72,8.293882369995117
38,0.0076,0.619394448,1.142440304,0.598889992,85.93,8.295891761779785
39,0.0078,0.626191369,1.153784674,0.598128011,86.32,8.224364280700684
40,0.008,0.634590624,1.165100756,0.607376586,86.92,8.143326759338379
41,0.0082,0.644331757,1.186713473,0.641022751,82.34,8.132903099060059
42,0.0084,0.652091363,1.188145138,0.636731025,85.97,7.988487243652344
43,0.0086,0.660969618,1.198523256,0.639965907,85.94,7.906088829040527
44,0.0088,0.6668819,1.219297717,0.649875437,83.87,7.923038005828857
45,0.009,0.67626066,1.232498419,0.640245294,85.69,7.8615641593933105
46,0.0092,0.685260035,1.248558939,0.658808794,84.65,7.824841499328613
47,0.0094,0.693369072,1.255367398,0.68133646,83.62,7.732208728790283
48,0.0096,0.699904918,1.261125157,0.673401864,84.75,7.6459431648254395
49,0.0098,0.706459714,1.26903001,0.696992613,85.3,7.576617240905762
50,0.01,0.715331231,1.281548195,0.686384187,85.12,7.5247392654418945
51,0.0102,0.72640071,1.291621618,0.72334812,83.91,7.444045543670654
52,0.0104,0.739420805,1.303596486,0.735638847,83.3,7.365301132202148
53,0.0106,0.749529129,1.318927945,0.719194293,84.13,7.329179286956787
54,0.0108,0.782481175,1.314313445,0.799887912,79.2,7.017387866973877
55,0.011,0.801100563,1.337613537,0.759674236,81.43,6.983831882476807
56,0.0112,0.806868811,1.338066272,0.764776707,81.35,6.886824131011963
57,0.0114,0.812294696,1.341284894,0.787938921,81.26,6.811949253082275
58,0.0116,0.819368066,1.356397612,0.826238071,77.33,6.80409049987793
59,0.0118,0.826205245,1.358034438,0.82214223,80.39,6.713439464569092
60,0.012,0.831363196,1.364547599,0.814092287,81.13,6.665736198425293
61,0.0122,0.835324229,1.378853393,0.812959849,79.58,6.67469596862793
62,0.0124,0.842239737,1.386229284,0.827580444,78.67,6.623452663421631
63,0.0126,0.84934973,1.397085877,0.821891202,80.07,6.593263626098633
64,0.0128,0.854211629,1.405229891,0.831358229,80.5,6.56112003326416
65,0.013,0.862515948,1.415477591,0.840127701,78.88,6.521925449371338
66,0.0132,0.868657355,1.415284862,0.842169238,80.46,6.43515157699585
67,0.0134,0.872043179,1.428619742,0.843184176,79.71,6.4448089599609375
68,0.0136,0.880465435,1.445599173,0.877198572,78.78,6.446235656738281
69,0.0138,0.88699228,1.460466393,0.865118595,79.78,6.446401596069336
70,0.014,0.893601148,1.456955457,0.895003124,74.92,6.34346866607666
71,0.0142,0.898659702,1.465312689,0.869278434,78.77,6.317051410675049
72,0.0144,0.907054738,1.48024092,0.87266415,80.32,6.309088230133057
73,0.0146,0.910799565,1.481445843,0.874471467,78.54,6.251828670501709
74,0.0148,0.92069681,1.485994662,0.893658931,78.59,6.180274963378906
75,0.015,0.929296502,1.49119706,0.905413843,80.34,6.1204609870910645
76,0.0152,0.933711976,1.486487253,0.920209345,78.64,6.030488967895508
77,0.0154,0.939318809,1.501951756,0.953115209,72.61,6.044386386871338
78,0.0156,0.944767558,1.504877743,0.952749564,78.91,5.99203634262085
79,0.0158,0.9549527,1.527770747,0.926296282,76.74,6.021154403686523
80,0.016,0.965236033,1.543271311,0.930892604,76.22,6.01059103012085
81,0.0162,0.973350306,1.536826208,0.950942943,77.35,5.897665977478027
82,0.0164,0.979707848,1.546134209,0.963102532,72.45,5.876920223236084
83,0.0166,0.99239166,1.559020791,0.957514764,75.84,5.8424553871154785
84,0.0168,1.013924215,1.557735711,1.035990473,71.86,5.6894402503967285
85,0.017,1.082534824,1.547471503,1.076963097,66.88,5.229647636413574
86,0.0172,1.08311199,1.561645313,1.070109159,67.04,5.274628162384033
87,0.0174,1.089734591,1.554993229,1.094179295,63.83,5.1709771156311035
88,0.0176,1.093584482,1.569175028,1.065836252,67.82,5.198287487030029
89,0.0178,1.097824586,1.57925139,1.090586074,66.69,5.200620174407959
90,0.018,1.102403661,1.584208085,1.079167857,67.97,5.173675060272217
91,0.0182,1.109343364,1.583580264,1.103443092,65.57,5.104602813720703
92,0.0184,1.112180574,1.582564406,1.097293684,65.02,5.056118965148926
93,0.0186,1.116344799,1.599032445,1.122716567,64.95,5.094207763671875
94,0.0188,1.121448685,1.59900303,1.106745985,64.93,5.040022373199463
95,0.019,1.126249691,1.594408122,1.138442609,64.74,4.963860988616943
96,0.0192,1.13302745,1.600967025,1.137327495,67.38,4.936785697937012
97,0.0194,1.138530365,1.613880614,1.117254442,70.51,4.950008869171143
98,0.0196,1.142340109,1.631022322,1.163873716,61.09,4.993272304534912
99,0.0198,1.146993862,1.63606211,1.122281359,63.45,4.969951629638672
100,0.02,1.153960745,1.633424169,1.1292942,66.32,4.896240711212158
101,0.0202,1.15643983,1.63055231,1.136998895,64.77,4.84467887878418
102,0.0204,1.15941265,1.624136687,1.165744709,60.36,4.77290153503418
103,0.0206,1.169667826,1.643292036,1.142236112,66.37,4.7949419021606445
104,0.0208,1.172467021,1.64697071,1.152186038,62.48,4.776261806488037
105,0.021,1.175144342,1.65327586,1.160864816,66.71,4.771600246429443
106,0.0212,1.180809453,1.661345239,1.165038233,62.53,4.760964393615723
107,0.0214,1.185923709,1.667456771,1.167203991,62.6,4.743579387664795
108,0.0216,1.190354554,1.662065351,1.169265121,64.24,4.673163890838623
109,0.0218,1.198254126,1.67503212,1.173855396,61.44,4.676596164703369
110,0.022,1.201049187,1.673980538,1.195116982,63.1,4.636472702026367
111,0.0222,1.208759598,1.677880301,1.181263187,63.14,4.596907615661621
112,0.0224,1.210368608,1.67454829,1.196468526,63.82,4.552175998687744
113,0.0226,1.217532809,1.679005801,1.208005778,63.74,4.51875638961792
114,0.0228,1.226740568,1.699846308,1.19645298,63.73,4.555244445800781
115,0.023,1.227353814,1.678525086,1.226074751,65.26,4.429011344909668
116,0.0232,1.236134165,1.69402658,1.229635808,62.29,4.442605018615723
117,0.0234,1.240948926,1.707428092,1.213718311,60.87,4.4648637771606445
118,0.0236,1.246782374,1.702900781,1.252645974,61.91,4.396254062652588
119,0.0238,1.25405576,1.698606674,1.255215153,62.72,4.321876049041748
120,0.024,1.267699243,1.701484612,1.27861562,57.64,4.25139856338501
121,0.0242,1.275430973,1.718747686,1.252314218,60.33,4.280055046081543
122,0.0244,1.283669872,1.721487328,1.276200592,56.36,4.235957622528076
123,0.0246,1.290802341,1.723012181,1.280653859,58.52,4.191599369049072
124,0.0248,1.294797826,1.724084016,1.289847975,58.54,4.160520076751709
125,0.025,1.304420733,1.734707855,1.280373349,59.55,4.148672580718994
126,0.0252,1.309854785,1.722883058,1.306804235,58.04,4.048457622528076
127,0.0254,1.314278075,1.725464605,1.318359683,58.83,4.023486614227295
128,0.0256,1.321147084,1.729180263,1.317164302,56.41,3.992342233657837
129,0.0258,1.328608073,1.743004679,1.317705189,54.44,4.007728099822998
130,0.026,1.337630079,1.744425358,1.308877633,57.51,3.9554989337921143
131,0.0262,1.343225847,1.755246868,1.326929743,55.48,3.9656012058258057
132,0.0264,1.354222224,1.754566591,1.342730075,53.45,3.894170045852661
133,0.0266,1.364277008,1.748607632,1.360737655,52.3,3.8011209964752197
134,0.0268,1.472244498,1.72804797,1.490320522,43.16,3.0894830226898193
135,0.027,1.475443498,1.730991344,1.453653025,43.76,3.0764808654785156
136,0.0272,1.476727347,1.723170953,1.5125942,44.25,3.010054349899292
137,0.0274,1.478373672,1.734703142,1.46909493,44.53,3.0586092472076416
138,0.0276,1.481610394,1.736124016,1.482224821,44.17,3.036693572998047
139,0.0278,1.480462135,1.73630384,1.478622336,41.75,3.033634662628174
140,0.028,1.484134003,1.731743595,1.477133185,44.34,2.9737517833709717
141,0.0282,1.485831796,1.747206168,1.482918366,43.81,3.044436454772949
142,0.0284,1.48804511,1.744889419,1.477241211,45.59,3.007293462753296
143,0.0286,1.488727221,1.749151618,1.481828277,40.26,3.017573356628418
144,0.0288,1.492605401,1.754048095,1.474114652,43.22,3.0129506587982178
145,0.029,1.494639483,1.736360126,1.51801686,43.48,2.8870737552642822
146,0.0292,1.496545017,1.749777551,1.489651014,45.3,2.944885015487671
147,0.0294,1.496113393,1.741706948,1.486054317,42.6,2.8902461528778076
148,0.0296,1.49964507,1.745060431,1.492177017,42.76,2.879420042037964
149,0.0298,1.500396838,1.751572964,1.523642896,42.15,2.9032273292541504
150,0.03,1.500950669,1.764753922,1.497737131,42.11,2.9653737545013428
151,0.0302,1.504142131,1.757936315,1.491083611,42.7,2.8989274501800537
152,0.0304,1.505320339,1.756659729,1.504962516,47.09,2.875368356704712
153,0.0306,1.506130013,1.7541594,1.525202681,44.57,2.847022294998169
154,0.0308,1.509275962,1.764197324,1.511288821,44.32,2.876919746398926
155,0.031,1.511665385,1.765935564,1.510043084,42.0,2.863959312438965
156,0.0312,1.514264934,1.772589976,1.486433927,43.57,2.8774375915527344
157,0.0314,1.515223041,1.768491847,1.511353251,43.02,2.840049982070923
158,0.0316,1.518591092,1.771240728,1.509467833,41.91,2.8275859355926514
159,0.0318,1.518311343,1.772552339,1.505275403,40.4,2.827543020248413
160,0.032,1.519776033,1.779008516,1.501851474,42.4,2.8462283611297607
161,0.0322,1.524633393,1.78775616,1.496911579,41.85,2.858586072921753
162,0.0324,1.522799228,1.768666613,1.526521133,45.15,2.754723072052002
163,0.0326,1.522789069,1.772970851,1.514238172,44.66,2.7702505588531494
164,0.0328,1.528156538,1.783204725,1.514868857,43.91,2.788522720336914
165,0.033,1.527846296,1.780945976,1.51905796,40.64,2.7694201469421387
166,0.0332,1.52941544,1.786516919,1.51429389,40.88,2.7828080654144287
167,0.0334,1.530598543,1.784273209,1.514282225,41.1,2.7559118270874023
168,0.0336,1.532904688,1.79487376,1.5318757,40.97,2.792257070541382
169,0.0338,1.534216725,1.793428511,1.511957945,41.78,2.769293785095215
170,0.034,1.536118776,1.783836478,1.521016891,43.86,2.6992249488830566
171,0.0342,1.538336684,1.794080017,1.523524565,40.46,2.734570264816284
172,0.0344,1.539757133,1.792303923,1.539285188,40.87,2.7095160484313965
173,0.0346,1.541012363,1.787385312,1.535841443,40.92,2.6684463024139404
174,0.0348,1.542554778,1.801969726,1.527927289,42.33,2.7302842140197754
175,0.035,1.545387578,1.794274199,1.550977676,40.4,2.666654586791992
176,0.0352,1.546262149,1.802127006,1.527530584,41.28,2.696087598800659
177,0.0354,1.546999238,1.793032084,1.537096641,43.1,2.636300563812256
178,0.0356,1.548555719,1.794205263,1.555783916,42.78,2.626836061477661
179,0.0358,1.551808889,1.808325635,1.527863326,40.67,2.676802635192871
180,0.036,1.554184255,1.799704175,1.547662383,42.13,2.6115126609802246
181,0.0362,1.555835706,1.809615839,1.542034566,42.03,2.647735118865967
182,0.0364,1.55903288,1.806837105,1.540645798,40.98,2.609177589416504
183,0.0366,1.556863149,1.805492699,1.546837042,42.96,2.6063685417175293
