,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.087007241,0.087007241,0.523116648,87.7,122.06891632080078
1,0.00044,0.257471027,0.65883111,0.364999276,86.91,30.202342987060547
2,0.00088,0.347800388,0.685472217,0.383222366,86.38,19.588714599609375
3,0.00132,0.38633186,0.768679561,0.40539325,85.67,17.019317626953125
4,0.00176,0.412656646,0.837259117,0.426997665,85.2,15.53226375579834
5,0.0022,0.437886912,0.904166499,0.494253606,82.42,14.558333396911621
6,0.00264,0.457741089,0.961102149,0.468475762,84.09,13.808221817016602
7,0.00308,0.477356244,1.020558581,0.511566481,82.05,13.280224800109863
8,0.00352,0.492964735,1.06464016,0.531962472,81.96,12.743927955627441
9,0.00396,0.508337869,1.111684015,0.540774736,81.29,12.343421936035156
10,0.0044,0.530013904,1.153750092,0.543539717,81.66,11.906227111816406
11,0.00484,0.54008412,1.19478422,0.547278476,81.48,11.630498886108398
12,0.00528,0.555251975,1.239467014,0.568205377,80.93,11.383588790893555
13,0.00572,0.563488721,1.275944719,0.576093642,80.77,11.160429954528809
14,0.00616,0.577165347,1.313163248,0.611142401,79.65,10.93069839477539
15,0.0066,0.59110162,1.355164664,0.617109952,78.8,10.759512901306152
16,0.00704,0.603759128,1.384277395,0.620523391,78.9,10.529438018798828
17,0.00748,0.61477436,1.416707379,0.621841414,79.84,10.354236602783203
18,0.00792,0.629471464,1.445778006,0.643438681,78.93,10.152290344238281
19,0.00836,0.641333582,1.474400514,0.662263876,77.78,9.982441902160645
20,0.0088,0.649068088,1.515014419,0.651280109,78.69,9.919824600219727
21,0.00924,0.661357853,1.541322632,0.655807765,78.84,9.758803367614746
22,0.00968,0.671871536,1.568588549,0.684209091,77.4,9.624762535095215
23,0.01012,0.681483635,1.593908663,0.691505605,77.77,9.49528694152832
24,0.01056,0.689156851,1.628202628,0.690120895,77.42,9.429991722106934
25,0.011,0.699402829,1.652378033,0.700622841,77.54,9.307743072509766
26,0.01144,0.708792174,1.686747476,0.729683562,74.92,9.245838165283203
27,0.01188,0.713433835,1.704247152,0.708584309,76.96,9.132461547851562
28,0.01232,0.725871562,1.735308006,0.749186229,75.68,9.051779747009277
29,0.01276,0.734298825,1.766478971,0.743382063,76.69,8.993988990783691
30,0.0132,0.740489654,1.792499401,0.737021579,76.43,8.92735767364502
31,0.01364,0.747722763,1.808621134,0.760727135,75.77,8.819208145141602
32,0.01408,0.756317821,1.843512919,0.765690564,75.82,8.787239074707031
33,0.01452,0.76739975,1.851007259,0.768665642,75.97,8.63878345489502
34,0.01496,0.774724818,1.883859437,0.784241794,75.87,8.610454559326172
35,0.0154,0.781036577,1.910262679,0.801398285,74.53,8.563077926635742
36,0.01584,0.788428403,1.932544647,0.78481451,76.16,8.498799324035645
37,0.01628,0.79991653,1.966119957,0.809126012,74.65,8.463690757751465
38,0.01672,0.809375586,1.975936436,0.819103564,73.97,8.35286808013916
39,0.01716,0.817475256,2.003195358,0.833414835,73.86,8.312515258789062
40,0.0176,0.824480664,2.003190283,0.833214198,75.15,8.183648109436035
41,0.01804,0.834700436,2.024411955,0.84005851,74.16,8.120865821838379
42,0.01848,0.847698755,2.04279736,0.840576258,74.13,8.041753768920898
43,0.01892,0.864969212,2.045356316,0.865983713,73.14,7.898623943328857
44,0.01936,0.869986655,2.066537886,0.873194726,72.8,7.861636161804199
45,0.0198,0.875006612,2.060097082,0.893104911,71.34,7.736478328704834
46,0.02024,0.883436103,2.096431277,0.888234733,72.19,7.741483688354492
47,0.02068,0.892202376,2.129685138,0.894553547,72.07,7.735599040985107
48,0.02112,0.89641551,2.147810153,0.895281043,72.43,7.697503089904785
49,0.02156,0.905701918,2.143180155,0.912621721,70.89,7.576073169708252
50,0.022,0.91291461,2.165265936,0.909766067,72.55,7.544871807098389
51,0.02244,0.921009781,2.164690095,0.91825227,73.77,7.444625377655029
52,0.02288,0.927764808,2.202147747,0.918796731,73.17,7.4631452560424805
53,0.02332,0.93612307,2.209844721,0.958638376,70.21,7.3904876708984375
54,0.02376,0.942390321,2.22097659,0.966410711,69.12,7.335705757141113
55,0.0242,0.955756032,2.254845088,0.952236799,71.71,7.326759338378906
56,0.02464,0.958354514,2.247687368,0.975964539,69.58,7.233730316162109
57,0.02508,0.966554742,2.275016947,0.958541013,72.83,7.222984790802002
58,0.02552,0.976558177,2.294594857,0.980092542,68.65,7.186600208282471
59,0.02596,0.984443687,2.323480142,0.964308298,72.19,7.181966304779053
60,0.0264,0.991427824,2.3548934,1.001682836,66.89,7.186546325683594
61,0.02684,1.002005867,2.348202074,0.989973543,71.71,7.0821146965026855
62,0.02728,1.011981694,2.343076256,1.011824769,67.64,6.985254287719727
63,0.02772,1.024453707,2.343912553,1.038155056,68.08,6.89923620223999
64,0.02816,1.03089622,2.368159238,1.022698733,67.3,6.8911566734313965
65,0.0286,1.043548187,2.357132558,1.051181006,67.56,6.777129173278809
66,0.02904,1.084685744,2.289929603,1.093388415,60.2,6.442269802093506
67,0.02948,1.087730701,2.312599713,1.109540882,62.24,6.445868968963623
68,0.02992,1.093563217,2.320433876,1.095875004,64.37,6.403519153594971
69,0.03036,1.09953376,2.308894568,1.103087924,61.64,6.311415672302246
70,0.0308,1.107313313,2.332724441,1.105171541,62.07,6.307620525360107
71,0.03124,1.11243692,2.34629608,1.106363055,60.72,6.284589767456055
72,0.03168,1.117863383,2.382407592,1.110787633,61.75,6.317927837371826
73,0.03212,1.12143306,2.374478807,1.114276283,63.83,6.245910167694092
74,0.03256,1.129831291,2.352945038,1.143848105,64.21,6.129019260406494
75,0.033,1.136316348,2.404634131,1.135680861,61.31,6.1995038986206055
76,0.03344,1.141119793,2.409625163,1.153320936,58.49,6.1590375900268555
77,0.03388,1.14813356,2.403801626,1.155524731,60.13,6.087879180908203
78,0.03432,1.153376679,2.40588334,1.156690149,64.02,6.0411057472229
79,0.03476,1.160201202,2.439124001,1.175013142,58.47,6.065716743469238
80,0.0352,1.163759904,2.437953203,1.163917999,59.22,6.016528129577637
81,0.03564,1.17009825,2.456407987,1.17329712,62.01,6.007636070251465
82,0.03608,1.175611739,2.453720525,1.177744508,59.22,5.951824188232422
83,0.03652,1.183417562,2.500828248,1.181906282,56.53,6.0061354637146
84,0.03696,1.18825188,2.50902709,1.180180516,60.14,5.977895736694336
85,0.0374,1.195793604,2.509266156,1.181789612,59.86,5.926173210144043
86,0.03784,1.20082269,2.501482184,1.205297851,54.88,5.862811088562012
87,0.03828,1.207270402,2.504828846,1.209849367,57.55,5.822073459625244
88,0.03872,1.214001037,2.532220855,1.232038479,57.65,5.834803581237793
89,0.03916,1.220189394,2.560019372,1.220125279,57.76,5.849295139312744
90,0.0396,1.225433877,2.534740449,1.219767798,58.76,5.750072479248047
91,0.04004,1.232625825,2.544495466,1.234374886,55.67,5.723984241485596
