,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.020164893,0.020164893,0.178617967,97.4,62.767127990722656
1,0.0016,0.080780094,0.284066678,0.086741688,97.29,11.271817207336426
2,0.0032,0.101329373,0.345783402,0.098196063,97.07,8.740224838256836
3,0.0048,0.115683585,0.411965812,0.195192923,93.62,7.856549263000488
4,0.0064,0.13033118,0.473322416,0.12422525,96.55,7.320652008056641
5,0.008,0.143525157,0.52210844,0.134071771,96.14,6.87914514541626
6,0.0096,0.15539865,0.581362212,0.142905312,95.84,6.661163806915283
7,0.0112,0.165175891,0.619589196,0.16533101,95.36,6.369646072387695
8,0.0128,0.177884853,0.645866005,0.17074204,95.31,6.046550273895264
9,0.0144,0.189466399,0.698060772,0.177356563,95.2,5.942971706390381
10,0.016,0.197809392,0.737924505,0.192913329,94.57,5.810086250305176
11,0.0176,0.210138554,0.773749577,0.18905232,95.01,5.658907413482666
12,0.0192,0.21855459,0.803322339,0.203325783,94.55,5.518739700317383
13,0.0208,0.23040476,0.84337301,0.210102073,94.22,5.428579330444336
14,0.0224,0.240043835,0.873434375,0.214568657,94.56,5.317540168762207
15,0.024,0.246169672,0.908478861,0.228902706,93.7,5.253198623657227
16,0.0256,0.256239805,0.939032188,0.231794854,94.26,5.164444923400879
17,0.0272,0.264372578,0.973341111,0.245725999,93.73,5.105374336242676
18,0.0288,0.273177438,0.992803683,0.258089158,93.83,4.998687267303467
19,0.0304,0.281866458,1.042458178,0.269320218,93.04,5.001930236816406
20,0.032,0.291886724,1.054204534,0.27203769,92.88,4.880812168121338
21,0.0336,0.300454775,1.083524702,0.282044527,92.59,4.827578544616699
22,0.0352,0.308931477,1.098769477,0.302262451,92.66,4.736929416656494
23,0.0368,0.316623642,1.125738415,0.305048367,92.4,4.688998699188232
24,0.0384,0.327507109,1.150639067,0.310053278,92.35,4.629865646362305
25,0.04,0.33616484,1.183897002,0.314037239,92.27,4.603611469268799
26,0.0416,0.341857072,1.18167667,0.324047302,92.03,4.4930949211120605
27,0.0432,0.349983701,1.20429104,0.331156667,91.47,4.446970462799072
28,0.0448,0.357722837,1.249139683,0.348450938,90.69,4.460677146911621
29,0.0464,0.362836102,1.248925845,0.34267582,91.18,4.369978904724121
30,0.048,0.371403597,1.277532137,0.350831587,91.33,4.344839572906494
31,0.0496,0.378850749,1.308703072,0.36269449,91.1,4.329780101776123
32,0.0512,0.383691974,1.328441485,0.371067691,90.8,4.295591354370117
33,0.0528,0.390090602,1.341715111,0.373885105,90.59,4.245364665985107
34,0.0544,0.397091084,1.376493623,0.375484777,90.16,4.243070602416992
35,0.056,0.40191609,1.390185331,0.379715778,90.95,4.200903415679932
36,0.0576,0.408097732,1.406966775,0.389741191,90.47,4.164300441741943
37,0.0592,0.414118993,1.442728478,0.395508133,90.01,4.168346881866455
38,0.0608,0.420780369,1.450686826,0.3967378,90.27,4.115725040435791
39,0.0624,0.427502613,1.475693906,0.409677196,89.65,4.098519802093506
40,0.064,0.433192289,1.487472196,0.412230219,89.39,4.0587029457092285
41,0.0656,0.439287201,1.509492804,0.41605524,89.57,4.039064407348633
42,0.0672,0.447077419,1.523119777,0.427361575,89.61,4.001561164855957
43,0.0688,0.452426718,1.537637578,0.438179426,89.11,3.9715678691864014
44,0.0704,0.459190855,1.549862272,0.448556772,89.22,3.9360454082489014
45,0.072,0.46651644,1.593340102,0.442509976,88.81,3.956043004989624
46,0.0736,0.472364381,1.599873332,0.451554211,88.93,3.9139950275421143
47,0.0752,0.479687756,1.643723982,0.460596651,88.66,3.934354066848755
48,0.0768,0.484385809,1.642199407,0.463321216,88.96,3.8827407360076904
49,0.0784,0.489214726,1.651147339,0.466002555,88.83,3.8497445583343506
50,0.08,0.493682883,1.683693488,0.475309324,88.34,3.856820583343506
51,0.0816,0.49833807,1.692042034,0.477674289,88.36,3.824746608734131
52,0.0832,0.503478359,1.699532632,0.494991564,88.36,3.791517496109009
53,0.0848,0.50697176,1.726577974,0.489313414,88.74,3.7923760414123535
54,0.0864,0.512460991,1.772049965,0.486372628,88.41,3.818186044692993
55,0.088,0.517309673,1.757828732,0.49537933,88.55,3.754565477371216
56,0.0896,0.520474086,1.777064149,0.492898696,88.59,3.7449159622192383
57,0.0912,0.525216348,1.792645042,0.509822964,87.95,3.7278969287872314
58,0.0928,0.529038873,1.79990794,0.518007055,87.6,3.700629949569702
59,0.0944,0.533538267,1.822287828,0.512807237,88.23,3.6948537826538086
60,0.096,0.538534592,1.84386052,0.523899117,87.75,3.6874256134033203
61,0.0976,0.543619005,1.861064402,0.541449501,87.1,3.674014091491699
62,0.0992,0.548240294,1.888503176,0.525750594,87.84,3.6756837368011475
63,0.1008,0.551591387,1.890568928,0.541720447,87.37,3.644648790359497
64,0.1024,0.557006884,1.905012646,0.537958406,87.91,3.6282341480255127
65,0.104,0.560049416,1.932697053,0.537851626,87.79,3.6329751014709473
66,0.1056,0.565055289,1.947095953,0.537521847,87.59,3.6176598072052
67,0.1072,0.568639111,1.971395485,0.534197409,88.05,3.617370367050171
68,0.1088,0.573678224,1.975834261,0.555191468,87.6,3.589905023574829
69,0.1104,0.578101099,2.004282226,0.548502583,87.77,3.5942025184631348
70,0.112,0.582283168,2.021255916,0.553287413,87.57,3.5844006538391113
71,0.1136,0.58635865,2.01547795,0.572525821,87.27,3.5468640327453613
72,0.1152,0.590538929,2.040321045,0.579051718,86.38,3.547517776489258
73,0.1168,0.594977836,2.051561865,0.582309594,86.37,3.531390905380249
74,0.1184,0.600839945,2.083920719,0.572982317,86.93,3.5392074584960938
75,0.12,0.603400522,2.082135454,0.581182614,86.95,3.510380983352661
76,0.1216,0.609878473,2.102162872,0.59230874,86.95,3.503145694732666
77,0.1232,0.612462008,2.11524068,0.592772643,87.3,3.4925427436828613
78,0.1248,0.617324048,2.134007245,0.590420229,87.5,3.4860990047454834
79,0.1264,0.622804397,2.145519633,0.592102363,86.74,3.47084379196167
80,0.128,0.626850734,2.15982278,0.614819617,86.3,3.4606800079345703
81,0.1296,0.632569144,2.175733224,0.605032325,86.81,3.450664758682251
82,0.1312,0.638316505,2.198876878,0.625880136,85.48,3.448836326599121
83,0.1328,0.641369955,2.193914743,0.621232525,85.99,3.4191834926605225
84,0.1344,0.646092475,2.21406919,0.624776698,86.22,3.415623188018799
85,0.136,0.652905039,2.224529047,0.625780626,87.16,3.399413824081421
86,0.1376,0.659469939,2.254781618,0.631147552,86.13,3.40496563911438
87,0.1392,0.67231789,2.220035093,0.658997127,84.86,3.334461212158203
88,0.1408,0.681796457,2.243696018,0.662000484,84.59,3.330615997314453
89,0.1424,0.687561901,2.224902863,0.68111403,84.57,3.2857112884521484
90,0.144,0.691834017,2.259644702,0.668115444,85.01,3.299628973007202
91,0.1456,0.696584589,2.264667634,0.677623731,84.58,3.2817299365997314
92,0.1472,0.702685738,2.277449441,0.684654817,83.64,3.2707929611206055
93,0.1488,0.706141404,2.282324521,0.695712778,82.7,3.2546257972717285
94,0.1504,0.712823104,2.300259722,0.688077573,85.05,3.2488038539886475
95,0.152,0.7180154,2.318059887,0.691364565,84.79,3.2444686889648438
